Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
5.200000e+002	5.3267e-009	1.9098e-005	1.4115e-003	1.8535e-002	7.1920e-002	7.1472e-002	-4.4079e-002	-1.4612e-002	4.4299e-002	-4.4489e-002	2.8930e-002
5.300000e+002	2.2713e-009	1.0516e-005	9.1172e-004	1.3754e-002	6.2219e-002	8.1223e-002	-2.5977e-002	-3.5114e-002	5.0553e-002	-3.5215e-002	9.3870e-003
5.400000e+002	9.6342e-010	5.7447e-006	5.8262e-004	1.0054e-002	5.2541e-002	8.6052e-002	-5.0032e-003	-5.0255e-002	4.7242e-002	-1.8144e-002	-1.2513e-002
5.500000e+002	4.0659e-010	3.1150e-006	3.6857e-004	7.2478e-003	4.3423e-002	8.6549e-002	1.6472e-002	-5.8237e-002	3.5476e-002	2.7600e-003	-3.1400e-002
5.600000e+002	1.7077e-010	1.6771e-006	2.3094e-004	5.1575e-003	3.5196e-002	8.3543e-002	3.6458e-002	-5.8499e-002	1.7713e-002	2.3108e-002	-4.3033e-002
5.700000e+002	7.1390e-011	8.9683e-007	1.4340e-004	3.6257e-003	2.8028e-002	7.7954e-002	5.3498e-002	-5.1564e-002	-2.8769e-003	3.9024e-002	-4.5137e-002
5.800000e+002	2.9712e-011	4.7647e-007	8.8278e-005	2.5199e-003	2.1960e-002	7.0671e-002	6.6704e-002	-3.8760e-002	-2.3034e-002	4.7816e-002	-3.7660e-002
5.900000e+002	1.2313e-011	2.5157e-007	5.3902e-005	1.7326e-003	1.6949e-002	6.2481e-002	7.5727e-002	-2.1888e-002	-3.9933e-002	4.8303e-002	-2.2525e-002
6.000000e+002	5.0818e-012	1.3203e-007	3.2655e-005	1.1792e-003	1.2901e-002	5.4028e-002	8.0650e-002	-2.9088e-003	-5.1528e-002	4.0817e-002	-3.0040e-003
6.100000e+002	2.0890e-012	6.8899e-008	1.9637e-005	7.9489e-004	9.6929e-003	4.5798e-002	8.1882e-002	1.6327e-002	-5.6709e-002	2.6935e-002	1.7077e-002
6.200000e+002	8.5542e-013	3.5756e-008	1.1724e-005	5.3093e-004	7.1944e-003	3.8128e-002	8.0027e-002	3.4258e-002	-5.5288e-002	9.0488e-003	3.4114e-002
6.300000e+002	3.4899e-013	1.8458e-008	6.9519e-006	3.5154e-004	5.2792e-003	3.1223e-002	7.5785e-002	4.9722e-002	-4.7867e-002	-1.0111e-002	4.5335e-002
6.400000e+002	1.4187e-013	9.4796e-009	4.0952e-006	2.3084e-004	3.8322e-003	2.5183e-002	6.9860e-002	6.1984e-002	-3.5615e-002	-2.7924e-002	4.9176e-002
6.500000e+002	5.7469e-014	4.8445e-009	2.3972e-006	1.5038e-004	2.7536e-003	2.0027e-002	6.2902e-002	7.0714e-002	-2.0034e-002	-4.2227e-002	4.5374e-002
6.600000e+002	2.3202e-014	2.4639e-009	1.3947e-006	9.7219e-005	1.9594e-003	1.5719e-002	5.5468e-002	7.5925e-002	-2.7243e-003	-5.1525e-002	3.4849e-002
6.700000e+002	9.3367e-015	1.2474e-009	8.0671e-007	6.2396e-005	1.3816e-003	1.2188e-002	4.8004e-002	7.7892e-002	1.4801e-002	-5.5080e-002	1.9404e-002
6.800000e+002	3.7452e-015	6.2869e-010	4.6398e-007	3.9766e-005	9.6558e-004	9.3411e-003	4.0842e-002	7.7063e-002	3.1256e-002	-5.2871e-002	1.3534e-003
6.900000e+002	1.4977e-015	3.1549e-010	2.6540e-007	2.5174e-005	6.6922e-004	7.0818e-003	3.4210e-002	7.3983e-002	4.5655e-002	-4.5482e-002	-1.6870e-002
7.000000e+002	5.9713e-016	1.5766e-010	1.5101e-007	1.5833e-005	4.6011e-004	5.3141e-003	2.8245e-002	6.9223e-002	5.7351e-002	-3.3934e-002	-3.3050e-002
7.100000e+002	2.3738e-016	7.8465e-011	8.5490e-008	9.8965e-006	3.1392e-004	3.9488e-003	2.3010e-002	6.3332e-002	6.6015e-002	-1.9499e-002	-4.5437e-002
7.200000e+002	9.4099e-017	3.8897e-011	4.8158e-008	6.1486e-006	2.1261e-004	2.9072e-003	1.8512e-002	5.6798e-002	7.1599e-002	-3.5252e-003	-5.2891e-002
7.300000e+002	3.7198e-017	1.9208e-011	2.6998e-008	3.7979e-006	1.4297e-004	2.1215e-003	1.4720e-002	5.0032e-002	7.4277e-002	1.2705e-002	-5.4924e-002
7.400000e+002	1.4665e-017	9.4499e-012	1.5065e-008	2.3327e-006	9.5495e-005	1.5352e-003	1.1577e-002	4.3359e-002	7.4380e-002	2.8086e-002	-5.1652e-002
7.500000e+002	5.7665e-018	4.6323e-012	8.3689e-009	1.4250e-006	6.3365e-005	1.1019e-003	9.0099e-003	3.7018e-002	7.2336e-002	4.1750e-002	-4.3692e-002
7.600000e+002	2.2616e-018	2.2627e-012	4.6286e-009	8.6594e-007	4.1780e-005	7.8484e-004	6.9433e-003	3.1170e-002	6.8615e-002	5.3101e-002	-3.2014e-002
7.700000e+002	8.8479e-019	1.1014e-012	2.5491e-009	5.2353e-007	2.7380e-005	5.5486e-004	5.3008e-003	2.5910e-002	6.3684e-002	6.1804e-002	-1.7790e-002
