Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
3.500000e+002	5.6262e-005	1.1251e-003	2.5519e-003	2.2014e-002	9.1643e-002	5.6643e-002	-6.0271e-002	5.7217e-003	3.6012e-002	-4.6482e-002	3.6315e-002	-1.8272e-002	8.8628e-005	1.5096e-002	-2.7795e-002
3.600000e+002	2.8844e-005	6.4415e-004	1.6089e-003	1.5183e-002	7.9169e-002	7.6518e-002	-4.5258e-002	-2.1434e-002	5.0030e-002	-4.1151e-002	1.7390e-002	5.9747e-003	-2.2781e-002	3.2478e-002	-3.6886e-002
3.700000e+002	1.4612e-005	3.6352e-004	9.9700e-004	1.0255e-002	6.5891e-002	8.8775e-002	-2.2791e-002	-4.3945e-002	5.0983e-002	-2.3461e-002	-7.3648e-003	2.8032e-002	-3.6660e-002	3.6195e-002	-2.9496e-002
3.800000e+002	7.3206e-006	2.0246e-004	6.0820e-004	6.7986e-003	5.3125e-002	9.3787e-002	3.0206e-003	-5.7721e-002	3.9537e-002	8.5275e-004	-2.9783e-002	4.0320e-002	-3.6728e-002	2.5332e-002	-9.4569e-003
3.900000e+002	3.6303e-006	1.1139e-004	3.6571e-004	4.4309e-003	4.1666e-002	9.2725e-002	2.8440e-002	-6.0996e-002	1.9141e-002	2.4940e-002	-4.3253e-002	3.9236e-002	-2.3579e-002	4.6916e-003	1.4479e-002
4.000000e+002	1.7832e-006	6.0597e-005	2.1701e-004	2.8431e-003	3.1892e-002	8.7125e-002	5.0614e-002	-5.4141e-002	-5.2842e-003	4.2800e-002	-4.4415e-002	2.5760e-002	-2.3177e-003	-1.7686e-002	3.2678e-002
4.100000e+002	8.6812e-007	3.2620e-005	1.2720e-004	1.7983e-003	2.3886e-002	7.8565e-002	6.7772e-002	-3.9103e-002	-2.8676e-002	5.0613e-002	-3.3602e-002	4.5337e-003	1.9706e-002	-3.3781e-002	3.8420e-002
4.200000e+002	4.1911e-007	1.7388e-005	7.3705e-005	1.1224e-003	1.7542e-002	6.8450e-002	7.9172e-002	-1.8711e-002	-4.6867e-002	4.7263e-002	-1.4205e-002	-1.7992e-002	3.5525e-002	-3.8358e-002	3.0061e-002
4.300000e+002	2.0075e-007	9.1832e-006	4.2255e-005	6.9200e-004	1.2655e-002	5.7902e-002	8.4913e-002	3.9923e-003	-5.7187e-002	3.4125e-002	8.6288e-003	-3.5603e-002	4.0635e-002	-3.0371e-002	1.1073e-002
4.400000e+002	9.5446e-008	4.8081e-006	2.3983e-005	4.2175e-004	8.9808e-003	4.7731e-002	8.5673e-002	2.6254e-002	-5.8639e-002	1.4357e-002	2.9485e-002	-4.3942e-002	3.4018e-002	-1.2826e-002	-1.1688e-002
