Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
8.300000e+002	3.8806e-020	7.0654e-018	1.6417e-015	-2.0741e-014	1.5924e-011	4.0832e-009	2.5271e-007	6.1588e-006	8.6728e-005	8.2578e-004	5.2274e-003	2.1089e-002	5.1351e-002	6.6386e-002	2.7130e-002
8.400000e+002	1.6525e-020	3.1851e-018	7.8774e-016	-1.0333e-014	8.5845e-012	2.3773e-009	1.5676e-007	4.0378e-006	5.9948e-005	6.0282e-004	4.0462e-003	1.7431e-002	4.5979e-002	6.6964e-002	3.9344e-002
8.500000e+002	7.0212e-021	1.4324e-018	3.7699e-016	-5.1336e-015	4.6131e-012	1.3790e-009	9.6826e-008	2.6346e-006	4.1211e-005	4.3725e-004	3.1080e-003	1.4267e-002	4.0596e-002	6.5773e-002	4.9515e-002
8.600000e+002	2.9767e-021	6.4265e-019	1.7995e-016	-2.5434e-015	2.4711e-012	7.9696e-010	5.9560e-008	1.7110e-006	2.8180e-005	3.1521e-004	2.3697e-003	1.1569e-002	3.5378e-002	6.3126e-002	5.7329e-002
8.700000e+002	1.2593e-021	2.8766e-019	8.5674e-017	-1.2567e-015	1.3196e-012	4.5897e-010	3.6489e-008	1.1061e-006	1.9170e-005	2.2588e-004	1.7940e-003	9.2978e-003	3.0454e-002	5.9349e-002	6.2656e-002
8.800000e+002	5.3165e-022	1.2846e-019	4.0688e-017	-6.1927e-016	7.0259e-013	2.6340e-010	2.2267e-008	7.1194e-007	1.2975e-005	1.6093e-004	1.3489e-003	7.4083e-003	2.5909e-002	5.4758e-002	6.5526e-002
8.900000e+002	2.2398e-022	5.7243e-020	1.9276e-017	-3.0438e-016	3.7296e-013	1.5065e-010	1.3536e-008	4.5624e-007	8.7394e-006	1.1401e-004	1.0073e-003	5.8533e-003	2.1792e-002	4.9639e-002	6.6095e-002
9.000000e+002	9.4173e-023	2.5451e-020	9.1102e-018	-1.4922e-016	1.9741e-013	8.5877e-011	8.1975e-009	2.9114e-007	5.8580e-006	8.0318e-005	7.4729e-004	4.5862e-003	1.8125e-002	4.4242e-002	6.4609e-002
9.100000e+002	3.9516e-023	1.1292e-020	4.2954e-018	-7.2973e-017	1.0419e-013	4.8794e-011	4.9461e-009	1.8500e-007	3.9079e-006	5.6268e-005	5.5066e-004	3.5630e-003	1.4903e-002	3.8773e-002	6.1372e-002
9.200000e+002	1.6549e-023	4.9991e-021	2.0206e-018	-3.5598e-017	5.4835e-014	2.7634e-011	2.9733e-009	1.1706e-007	2.5943e-006	3.9193e-005	4.0291e-004	2.7431e-003	1.2105e-002	3.3392e-002	5.6712e-002
9.300000e+002	6.9174e-024	2.2086e-021	9.4831e-019	-1.7323e-017	2.8780e-014	1.5600e-011	1.7806e-009	7.3749e-008	1.7133e-006	2.7128e-005	2.9247e-004	2.0903e-003	9.6991e-003	2.8218e-002	5.0955e-002
9.400000e+002	2.8859e-024	9.7372e-022	4.4404e-019	-8.4094e-018	1.5061e-014	8.7753e-012	1.0618e-009	4.6226e-008	1.1245e-006	1.8632e-005	2.1024e-004	1.5729e-003	7.6435e-003	2.3323e-002	4.4406e-002
9.500000e+002	1.2016e-024	4.2836e-022	2.0740e-019	-4.0711e-018	7.8552e-015	4.9148e-012	6.2972e-010	2.8774e-008	7.3170e-007	1.2659e-005	1.4907e-004	1.1632e-003	5.8927e-003	1.8749e-002	3.7335e-002
9.600000e+002	4.9911e-025	1.8791e-022	9.6537e-020	-1.9631e-018	4.0750e-015	2.7325e-012	3.6990e-010	1.7697e-008	4.6911e-007	8.4465e-006	1.0339e-004	8.3749e-004	4.3988e-003	1.4500e-002	2.9961e-002
9.700000e+002	2.0623e-025	8.1893e-023	4.4562e-020	-9.3754e-019	2.0867e-015	1.4932e-012	2.1264e-010	1.0606e-008	2.9173e-007	5.4389e-006	6.8821e-005	5.7526e-004	3.1125e-003	1.0556e-002	2.2453e-002
9.800000e+002	8.3337e-026	3.4763e-023	1.9933e-020	-4.3239e-019	1.0235e-015	7.7461e-013	1.1511e-010	5.9413e-009	1.6837e-007	3.2270e-006	4.1899e-005	3.5871e-004	1.9845e-003	6.8729e-003	1.4927e-002
9.900000e+002	2.9434e-026	1.2752e-023	7.6060e-021	-1.6876e-019	4.1768e-016	3.2882e-013	5.0312e-011	2.6573e-009	7.6803e-008	1.4986e-006	1.9781e-005	1.7192e-004	9.6436e-004	3.3829e-003	7.4403e-003
1.000000e+003	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000
