Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
6.900000e+002	9.9760e-018	6.3721e-011	2.0188e-007	3.0035e-005	9.3274e-004	1.0046e-002	4.5006e-002	8.0447e-002	2.0595e-002	-5.6508e-002	1.8546e-002
7.000000e+002	3.2192e-018	2.8884e-011	1.0914e-007	1.8344e-005	6.3176e-004	7.5178e-003	3.7593e-002	7.8326e-002	3.7591e-002	-5.2988e-002	-7.0744e-004
7.100000e+002	1.0361e-018	1.3039e-011	5.8678e-008	1.1127e-005	4.2422e-004	5.5632e-003	3.0900e-002	7.3998e-002	5.2008e-002	-4.3962e-002	-1.9865e-002
7.200000e+002	3.3261e-019	5.8625e-012	3.1383e-008	6.7054e-006	2.8252e-004	4.0733e-003	2.5025e-002	6.8124e-002	6.3237e-002	-3.0687e-002	-3.6462e-002
7.300000e+002	1.0652e-019	2.6258e-012	1.6700e-008	4.0151e-006	1.8667e-004	2.9526e-003	1.9990e-002	6.1311e-002	7.1037e-002	-1.4665e-002	-4.8620e-002
7.400000e+002	3.4030e-020	1.1717e-012	8.8427e-009	2.3895e-006	1.2241e-004	2.1198e-003	1.5765e-002	5.4077e-002	7.5478e-002	2.5680e-003	-5.5193e-002
7.500000e+002	1.0846e-020	5.2096e-013	4.6601e-009	1.4137e-006	7.9692e-005	1.5082e-003	1.2283e-002	4.6837e-002	7.6859e-002	1.9607e-002	-5.5800e-002
7.600000e+002	3.4492e-021	2.3081e-013	2.4446e-009	8.3166e-007	5.1521e-005	1.0637e-003	9.4631e-003	3.9900e-002	7.5630e-002	3.5287e-002	-5.0742e-002
7.700000e+002	1.0945e-021	1.0191e-013	1.2767e-009	4.8656e-007	3.3085e-005	7.4407e-004	7.2129e-003	3.3477e-002	7.2318e-002	4.8749e-002	-4.0859e-002
7.800000e+002	3.4653e-022	4.4847e-014	6.6385e-010	2.8315e-007	2.1110e-005	5.1635e-004	5.4423e-003	2.7695e-002	6.7469e-002	5.9453e-002	-2.7346e-002
7.900000e+002	1.0949e-022	1.9672e-014	3.4374e-010	1.6393e-007	1.3385e-005	3.5561e-004	4.0671e-003	2.2614e-002	6.1598e-002	6.7157e-002	-1.1572e-002
8.000000e+002	3.4524e-023	8.6016e-015	1.7727e-010	9.4433e-008	8.4362e-006	2.4312e-004	3.0117e-003	1.8240e-002	5.5165e-002	7.1876e-002	5.0893e-003
8.100000e+002	1.0864e-023	3.7496e-015	9.1051e-011	5.4136e-008	5.2862e-006	1.6505e-004	2.2108e-003	1.4544e-002	4.8552e-002	7.3821e-002	2.1390e-002
8.200000e+002	3.4120e-024	1.6296e-015	4.6588e-011	3.0890e-008	3.2938e-006	1.1130e-004	1.6094e-003	1.1472e-002	4.2058e-002	7.3341e-002	3.6299e-002
8.300000e+002	1.0696e-024	7.0617e-016	2.3748e-011	1.7545e-008	2.0412e-006	7.4559e-005	1.1623e-003	8.9570e-003	3.5904e-002	7.0864e-002	4.9049e-002
8.400000e+002	3.3465e-025	3.0514e-016	1.2061e-011	9.9214e-009	1.2583e-006	4.9635e-005	8.3297e-004	6.9254e-003	3.0239e-002	6.6848e-002	5.9152e-002
8.500000e+002	1.0451e-025	1.3149e-016	6.1035e-012	5.5862e-009	7.7171e-007	3.2842e-005	5.9258e-004	5.3053e-003	2.5148e-002	6.1740e-002	6.6382e-002
8.600000e+002	3.2583e-026	5.6504e-017	3.0780e-012	3.1321e-009	4.7094e-007	2.1603e-005	4.1859e-004	4.0285e-003	2.0667e-002	5.5950e-002	7.0739e-002
8.700000e+002	1.0140e-026	2.4217e-017	1.5470e-012	1.7489e-009	2.8601e-007	1.4129e-005	2.9368e-004	3.0332e-003	1.6795e-002	4.9832e-002	7.2401e-002
8.800000e+002	3.1503e-027	1.0352e-017	7.7492e-013	9.7272e-010	1.7289e-007	9.1901e-006	2.0468e-004	2.2653e-003	1.3504e-002	4.3676e-002	7.1672e-002
8.900000e+002	9.7707e-028	4.4140e-018	3.8692e-013	5.3890e-010	1.0403e-007	5.9456e-006	1.4175e-004	1.6785e-003	1.0746e-002	3.7705e-002	6.8936e-002
9.000000e+002	3.0254e-028	1.8774e-018	1.9258e-013	2.9743e-010	6.2317e-008	3.8265e-006	9.7552e-005	1.2343e-003	8.4661e-003	3.2077e-002	6.4606e-002
9.100000e+002	9.3529e-029	7.9656e-019	9.5556e-014	1.6355e-010	3.7168e-008	2.4500e-006	6.6725e-005	9.0066e-004	6.6031e-003	2.6897e-002	5.9094e-002
9.200000e+002	2.8868e-029	3.3717e-019	4.7270e-014	8.9608e-011	2.2074e-008	1.5607e-006	4.5357e-005	6.5210e-004	5.0967e-003	2.2219e-002	5.2780e-002
9.300000e+002	8.8964e-030	1.4238e-019	2.3314e-014	4.8918e-011	1.3052e-008	9.8898e-007	3.0630e-005	4.6814e-004	3.8891e-003	1.8059e-002	4.5995e-002
9.400000e+002	2.7375e-030	5.9986e-020	1.1464e-014	2.6605e-011	7.6819e-009	6.2299e-007	2.0527e-005	3.3270e-004	2.9273e-003	1.4402e-002	3.9010e-002
9.500000e+002	8.4106e-031	2.5213e-020	5.6187e-015	1.4406e-011	4.4949e-009	3.8941e-007	1.3615e-005	2.3324e-004	2.1638e-003	1.1212e-002	3.2031e-002
9.600000e+002	2.5801e-031	1.0567e-020	2.7412e-015	7.7479e-012	2.6053e-009	2.4032e-007	8.8812e-006	1.6002e-004	1.5563e-003	8.4353e-003	2.5198e-002
9.700000e+002	7.8984e-032	4.4037e-021	1.3235e-015	4.1035e-012	1.4791e-009	1.4443e-007	5.6059e-006	1.0552e-004	1.0679e-003	6.0054e-003	1.8590e-002
9.800000e+002	2.3973e-032	1.7936e-021	6.1643e-016	2.0727e-012	7.9251e-010	8.1116e-008	3.2754e-006	6.3804e-005	6.6570e-004	3.8486e-003	1.2228e-002
9.900000e+002	6.7067e-033	6.3839e-022	2.4283e-016	8.6570e-013	3.4491e-010	3.6447e-008	1.5107e-006	3.0091e-005	3.2011e-004	1.8829e-003	6.0794e-003
1.000000e+003	-2.6503e-034	-3.5809e-023	-1.5996e-017	-6.2852e-014	-2.6876e-011	-3.0044e-009	-1.3055e-007	-2.7089e-006	-2.9883e-005	-1.8164e-004	-6.0491e-004
