V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
1.690e+000	3.6183e-006	-2.0395e+013	-2.0170e+013	2.0170e+013	5.2500e-015
1.700e+000	3.6639e-006	-2.0624e+013	-2.0395e+013	2.0395e+013	5.2500e-015
1.710e+000	3.7076e-006	-2.0856e+013	-2.0624e+013	2.0624e+013	5.2500e-015
1.720e+000	3.7497e-006	-2.1090e+013	-2.0856e+013	2.0856e+013	5.2500e-015
1.730e+000	3.7902e-006	-2.1326e+013	-2.1090e+013	2.1090e+013	5.2500e-015
1.740e+000	3.8292e-006	-2.1565e+013	-2.1326e+013	2.1326e+013	5.2500e-015
1.750e+000	3.8279e-006	-2.1804e+013	-2.1565e+013	2.1565e+013	5.2500e-015
1.760e+000	3.8524e-006	-2.2045e+013	-2.1804e+013	2.1804e+013	5.2500e-015
1.770e+000	3.8818e-006	-2.2287e+013	-2.2045e+013	2.2044e+013	5.2500e-015
1.780e+000	3.9101e-006	-2.2531e+013	-2.2287e+013	2.2287e+013	5.2500e-015
1.790e+000	3.9374e-006	-2.2777e+013	-2.2531e+013	2.2531e+013	5.2500e-015
1.800e+000	3.9636e-006	-2.3024e+013	-2.2777e+013	2.2777e+013	5.2500e-015
1.810e+000	3.9889e-006	-2.3273e+013	-2.3024e+013	2.3024e+013	5.2500e-015
1.820e+000	4.0133e-006	-2.3523e+013	-2.3273e+013	2.3273e+013	5.2500e-015
1.830e+000	4.0370e-006	-2.3775e+013	-2.3523e+013	2.3523e+013	5.2500e-015
1.840e+000	4.0598e-006	-2.4029e+013	-2.3775e+013	2.3775e+013	5.2500e-015
1.850e+000	4.0819e-006	-2.4284e+013	-2.4029e+013	2.4029e+013	5.2500e-015
1.860e+000	4.1033e-006	-2.4540e+013	-2.4284e+013	2.4284e+013	5.2500e-015
1.870e+000	4.1241e-006	-2.4797e+013	-2.4540e+013	2.4540e+013	5.2500e-015
1.880e+000	4.1442e-006	-2.5056e+013	-2.4797e+013	2.4797e+013	5.2500e-015
1.890e+000	4.1638e-006	-2.5316e+013	-2.5056e+013	2.5056e+013	5.2500e-015
1.900e+000	4.1828e-006	-2.5577e+013	-2.5316e+013	2.5316e+013	5.2500e-015
1.910e+000	4.2013e-006	-2.5839e+013	-2.5577e+013	2.5577e+013	5.2500e-015
1.920e+000	4.2193e-006	-2.6102e+013	-2.5839e+013	2.5839e+013	5.2500e-015
1.930e+000	4.2368e-006	-2.6367e+013	-2.6102e+013	2.6102e+013	5.2500e-015
1.940e+000	4.2539e-006	-2.6632e+013	-2.6367e+013	2.6367e+013	5.2500e-015
1.950e+000	4.2706e-006	-2.6899e+013	-2.6632e+013	2.6632e+013	5.2500e-015
1.960e+000	4.2868e-006	-2.7166e+013	-2.6899e+013	2.6899e+013	5.2500e-015
1.970e+000	4.3027e-006	-2.7435e+013	-2.7166e+013	2.7166e+013	5.2500e-015
1.980e+000	4.3182e-006	-2.7704e+013	-2.7435e+013	2.7435e+013	5.2500e-015
1.990e+000	4.3333e-006	-2.7975e+013	-2.7704e+013	2.7704e+013	5.2500e-015
2.000e+000	4.3481e-006	-2.8246e+013	-2.7975e+013	2.7975e+013	5.2500e-015
2.010e+000	4.3626e-006	-2.8519e+013	-2.8246e+013	2.8246e+013	5.2500e-015
2.020e+000	4.3768e-006	-2.8792e+013	-2.8519e+013	2.8519e+013	5.2500e-015
2.030e+000	4.3907e-006	-2.9066e+013	-2.8792e+013	2.8792e+013	5.2500e-015
2.040e+000	4.4042e-006	-2.9341e+013	-2.9066e+013	2.9066e+013	5.2500e-015
2.050e+000	4.4176e-006	-2.9616e+013	-2.9341e+013	2.9341e+013	5.2500e-015
2.060e+000	4.4306e-006	-2.9893e+013	-2.9616e+013	2.9616e+013	5.2500e-015
2.070e+000	4.4376e-006	-3.0170e+013	-2.9893e+013	2.9893e+013	5.2500e-015
2.080e+000	4.4460e-006	-3.0447e+013	-3.0170e+013	3.0170e+013	5.2500e-015
