Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
5.300000e+002	4.6393e-010	9.8521e-006	1.4352e-003	2.2292e-002	8.3154e-002	5.9386e-002	-6.0326e-002	1.5487e-002	2.1574e-002	-3.9750e-002	4.3686e-002
5.400000e+002	1.5861e-010	4.9064e-006	8.8426e-004	1.6247e-002	7.2710e-002	7.5626e-002	-4.7365e-002	-9.3349e-003	4.0843e-002	-4.6389e-002	3.7217e-002
5.500000e+002	5.3960e-011	2.4232e-006	5.3828e-004	1.1635e-002	6.1703e-002	8.5862e-002	-2.7940e-002	-3.2440e-002	5.0952e-002	-4.0986e-002	1.9888e-002
5.600000e+002	1.8272e-011	1.1875e-006	3.2401e-004	8.1995e-003	5.1012e-002	9.0382e-002	-5.0616e-003	-5.0000e-002	5.0291e-002	-2.5472e-002	-2.9883e-003
5.700000e+002	6.1598e-012	5.7767e-007	1.9299e-004	5.6932e-003	4.1207e-002	8.9995e-002	1.8381e-002	-5.9623e-002	3.9614e-002	-3.9854e-003	-2.5068e-002
5.800000e+002	2.0678e-012	2.7905e-007	1.1381e-004	3.8989e-003	3.2602e-002	8.5777e-002	3.9992e-002	-6.0483e-002	2.1513e-002	1.8389e-002	-4.0756e-002
5.900000e+002	6.9135e-013	1.3390e-007	6.6495e-005	2.6360e-003	2.5312e-002	7.8871e-002	5.8068e-002	-5.3133e-002	-3.7743e-004	3.6874e-002	-4.6511e-002
6.000000e+002	2.3025e-013	6.3847e-008	3.8507e-005	1.7609e-003	1.9317e-002	7.0346e-002	7.1638e-002	-3.9143e-002	-2.2206e-002	4.7959e-002	-4.1432e-002
6.100000e+002	7.6399e-014	3.0260e-008	2.2113e-005	1.1632e-003	1.4510e-002	6.1107e-002	8.0392e-002	-2.0670e-002	-4.0592e-002	4.9916e-002	-2.7132e-002
6.200000e+002	2.5260e-014	1.4259e-008	1.2598e-005	7.6021e-004	1.0740e-002	5.1858e-002	8.4545e-002	-3.4033e-005	-5.3093e-002	4.2872e-002	-7.0655e-003
6.300000e+002	8.3229e-015	6.6817e-009	7.1225e-006	4.9189e-004	7.8424e-003	4.3100e-002	8.4675e-002	2.0605e-002	-5.8406e-002	2.8510e-002	1.4435e-002
6.400000e+002	2.7333e-015	3.1145e-009	3.9979e-006	3.1527e-004	5.6539e-003	3.5151e-002	8.1562e-002	3.9479e-002	-5.6357e-002	9.5478e-003	3.3141e-002
6.500000e+002	8.9479e-016	1.4443e-009	2.2285e-006	2.0025e-004	4.0278e-003	2.8179e-002	7.6061e-002	5.5328e-002	-4.7710e-002	-1.0870e-002	4.5728e-002
