Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
7.100000e+002	2.9923e-021	2.0085e-014	2.6151e-010	7.1897e-008	4.2428e-006	1.1139e-004	1.5142e-003	1.0894e-002	4.1136e-002	7.3976e-002	3.4148e-002	-4.8575e-002	-1.1908e-002
7.200000e+002	1.0306e-021	8.7786e-015	1.3430e-010	4.0833e-008	2.6119e-006	7.3916e-005	1.0830e-003	8.4332e-003	3.4875e-002	7.1145e-002	4.7040e-002	-3.9554e-002	-2.8266e-002
7.300000e+002	3.5419e-022	3.8251e-015	6.8697e-011	2.3082e-008	1.5991e-006	4.8729e-005	7.6849e-004	6.4633e-003	2.9162e-002	6.6793e-002	5.7384e-002	-2.7225e-002	-4.1474e-002
7.400000e+002	1.2146e-022	1.6618e-015	3.5007e-011	1.2988e-008	9.7382e-007	3.1924e-005	5.4123e-004	4.9069e-003	2.4073e-002	6.1394e-002	6.4947e-002	-1.2775e-002	-5.0296e-002
7.500000e+002	4.1562e-023	7.1983e-016	1.7772e-011	7.2762e-009	5.8997e-007	2.0788e-005	3.7841e-004	3.6919e-003	1.9636e-002	5.5378e-002	6.9727e-002	2.5982e-003	-5.4081e-002
7.600000e+002	1.4193e-023	3.1092e-016	8.9901e-012	4.0587e-009	3.5563e-007	1.3457e-005	2.6273e-004	2.7539e-003	1.5837e-002	4.9109e-002	7.1902e-002	1.7798e-002	-5.2747e-002
7.700000e+002	4.8368e-024	1.3393e-016	4.5316e-012	2.2545e-009	2.1334e-007	8.6621e-006	1.8119e-004	2.0374e-003	1.2638e-002	4.2878e-002	7.1777e-002	3.1905e-002	-4.6703e-002
7.800000e+002	1.6451e-024	5.7533e-017	2.2763e-012	1.2472e-009	1.2737e-007	5.5451e-006	1.2415e-004	1.4955e-003	9.9840e-003	3.6907e-002	6.9733e-002	4.4218e-002	-3.6735e-002
7.900000e+002	5.5844e-025	2.4650e-017	1.1396e-012	6.8726e-010	7.5698e-008	3.5309e-006	8.4533e-005	1.0895e-003	7.8126e-003	3.1351e-002	6.6185e-002	5.4276e-002	-2.3871e-002
8.000000e+002	1.8921e-025	1.0534e-017	5.6868e-013	3.7724e-010	4.4787e-008	2.2367e-006	5.7211e-005	7.8794e-004	6.0583e-003	2.6305e-002	6.1545e-002	6.1839e-002	-9.2445e-003
8.100000e+002	6.3987e-026	4.4901e-018	2.8286e-013	2.0628e-010	2.6384e-008	1.4098e-006	3.8494e-005	5.6589e-004	4.6574e-003	2.1818e-002	5.6196e-002	6.6868e-002	6.0180e-003
8.200000e+002	2.1600e-026	1.9092e-018	1.4026e-013	1.1239e-010	1.5477e-008	8.8429e-007	2.5754e-005	4.0369e-004	3.5510e-003	1.7902e-002	5.0472e-002	6.9481e-002	2.0896e-002
8.300000e+002	7.2786e-027	8.0983e-019	6.9336e-014	6.1012e-011	9.0414e-009	5.5204e-007	1.7136e-005	2.8612e-004	2.6861e-003	1.4539e-002	4.4654e-002	6.9918e-002	3.4537e-002
8.400000e+002	2.4484e-027	3.4269e-019	3.4173e-014	3.3006e-011	5.2607e-009	3.4304e-007	1.1341e-005	2.0152e-004	2.0165e-003	1.1694e-002	3.8962e-002	6.8493e-002	4.6297e-002
8.500000e+002	8.2217e-028	1.4468e-019	1.6793e-014	1.7794e-011	3.0489e-009	2.1221e-007	7.4669e-006	1.4108e-004	1.5028e-003	9.3188e-003	3.3561e-002	6.5561e-002	5.5750e-002
8.600000e+002	2.7562e-028	6.0943e-020	8.2291e-015	9.5613e-012	1.7603e-009	1.3071e-007	4.8916e-006	9.8188e-005	1.1121e-003	7.3613e-003	2.8561e-002	6.1483e-002	6.2676e-002
8.700000e+002	9.2248e-029	2.5614e-020	4.0212e-015	5.1207e-012	1.0126e-009	8.0166e-008	3.1889e-006	6.7949e-005	8.1744e-004	5.7662e-003	2.4032e-002	5.6605e-002	6.7043e-002
8.800000e+002	3.0824e-029	1.0742e-020	1.9596e-015	2.7338e-012	5.8031e-010	4.8963e-008	2.0691e-006	4.6764e-005	5.9693e-004	4.4803e-003	2.0002e-002	5.1239e-002	6.8964e-002
8.900000e+002	1.0283e-029	4.4950e-021	9.5236e-016	1.4549e-012	3.3140e-010	2.9784e-008	1.3363e-006	3.2012e-005	4.3314e-004	3.4539e-003	1.6476e-002	4.5652e-002	6.8668e-002
9.000000e+002	3.4253e-030	1.8771e-021	4.6163e-016	7.7192e-013	1.8860e-010	1.8046e-008	8.5909e-007	2.1798e-005	3.1233e-004	2.6422e-003	1.3434e-002	4.0061e-002	6.6456e-002
9.100000e+002	1.1392e-030	7.8223e-022	2.2319e-016	4.0832e-013	1.0696e-010	1.0892e-008	5.4987e-007	1.4767e-005	2.2384e-004	2.0058e-003	1.0842e-002	3.4634e-002	6.2666e-002
9.200000e+002	3.7831e-031	3.2532e-022	1.0763e-016	2.1536e-013	6.0460e-011	6.5488e-009	3.5040e-007	9.9523e-006	1.5942e-004	1.5108e-003	8.6591e-003	2.9492e-002	5.7645e-002
9.300000e+002	1.2544e-031	1.3502e-022	5.1778e-017	1.1325e-013	3.4061e-011	3.9223e-009	2.2229e-007	6.6712e-006	1.1279e-004	1.1283e-003	6.8372e-003	2.4711e-002	5.1727e-002
9.400000e+002	4.1535e-032	5.5932e-023	2.4846e-017	5.9384e-014	1.9123e-011	2.3397e-009	1.4033e-007	4.4450e-006	7.9188e-005	8.3430e-004	5.3277e-003	2.0331e-002	4.5208e-002
9.500000e+002	1.3733e-032	2.3124e-023	1.1892e-017	3.1038e-014	1.0694e-011	1.3889e-009	8.8051e-008	2.9390e-006	5.5053e-005	6.0908e-004	4.0825e-003	1.6361e-002	3.8342e-002
9.600000e+002	4.5338e-033	9.5388e-024	5.6734e-018	1.6152e-014	5.9470e-012	8.1860e-010	5.4743e-008	1.9206e-006	3.7709e-005	4.3641e-004	3.0557e-003	1.2784e-002	3.1330e-002
9.700000e+002	1.4939e-033	3.9204e-024	2.6899e-018	8.3333e-015	3.2700e-012	4.7562e-010	3.3436e-008	1.2281e-006	2.5161e-005	3.0306e-004	2.2039e-003	9.5630e-003	2.4319e-002
9.800000e+002	4.8909e-034	1.5909e-024	1.2505e-018	4.1913e-015	1.7436e-012	2.6651e-010	1.9584e-008	7.4865e-007	1.5907e-005	1.9814e-004	1.4866e-003	6.6440e-003	1.7398e-002
9.900000e+002	1.5232e-034	6.0198e-025	5.3353e-019	1.9143e-015	8.3704e-013	1.3341e-010	1.0172e-008	4.0183e-007	8.7947e-006	1.1254e-004	8.6566e-004	3.9596e-003	1.0607e-002
1.000000e+003	-3.9373e-035	-1.9963e-025	-2.0650e-019	-8.0868e-016	-3.7679e-013	-6.3326e-011	-5.0569e-009	-2.0813e-007	-4.7249e-006	-6.2492e-005	-4.9538e-004	-2.3299e-003	-6.4127e-003
