Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14
4.000000e+002	7.5317e-005	-3.0459e-013	9.0492e-003	-3.1603e-019	7.0314e-002	9.7703e-002	-4.5178e-002	-2.3794e-002	5.7341e-002	-5.6208e-002	3.4209e-002	-5.1564e-003	-2.1004e-002	3.8698e-002
4.100000e+002	3.4517e-005	-1.6325e-013	5.5924e-003	-3.4038e-019	5.4601e-002	1.0545e-001	-1.2100e-002	-5.5044e-002	6.2829e-002	-3.4898e-002	-2.5174e-003	3.2498e-002	-4.7677e-002	4.7565e-002
4.200000e+002	1.5611e-005	-8.6039e-014	3.3820e-003	-3.8706e-019	4.0912e-002	1.0394e-001	2.3233e-002	-7.1377e-002	4.6536e-002	9.3592e-004	-3.8032e-002	5.2523e-002	-4.5703e-002	2.5188e-002
4.300000e+002	6.9724e-006	-4.4635e-014	2.0046e-003	-4.6819e-019	2.9700e-002	9.5759e-002	5.4781e-002	-7.0043e-002	1.5202e-002	3.6403e-002	-5.6142e-002	4.5291e-002	-1.7339e-002	-1.3143e-002
4.400000e+002	3.0775e-006	-2.2813e-014	1.1662e-003	-6.0155e-019	2.0955e-002	8.3583e-002	7.8635e-002	-5.2948e-002	-2.0703e-002	5.8393e-002	-4.9823e-002	1.5573e-002	2.0646e-002	-4.3445e-002
4.500000e+002	1.3431e-006	-1.1497e-014	6.6662e-004	-8.1508e-019	1.4406e-002	6.9737e-002	9.3156e-002	-2.5091e-002	-5.0833e-002	6.0035e-002	-2.2907e-002	-2.1538e-002	4.7623e-002	-4.8152e-002
4.600000e+002	5.7985e-007	-5.7168e-015	3.7479e-004	-1.1544e-018	9.6690e-003	5.5964e-002	9.8580e-002	7.3391e-003	-6.7852e-002	4.2021e-002	1.2996e-002	-4.8877e-002	5.0213e-002	-2.5503e-002
4.700000e+002	2.4774e-007	-2.8064e-015	2.0742e-004	-1.6955e-018	6.3472e-003	4.3398e-002	9.6396e-002	3.8582e-002	-6.8762e-002	1.1109e-002	4.4066e-002	-5.5043e-002	2.8116e-002	1.1112e-002
4.800000e+002	1.0479e-007	-1.3607e-015	1.1309e-004	-2.5669e-018	4.0808e-003	3.2633e-002	8.8698e-002	6.4354e-002	-5.4718e-002	-2.2991e-002	5.9630e-002	-3.8463e-002	-7.2415e-003	4.1863e-002
4.900000e+002	4.3895e-008	-6.5201e-016	6.0775e-005	-3.9885e-018	2.5729e-003	2.3861e-002	7.7660e-002	8.2261e-002	-2.9846e-002	-5.0943e-002	5.5376e-002	-6.7410e-003	-3.9325e-002	5.1344e-002
5.000000e+002	1.8214e-008	-3.0885e-016	3.2214e-005	-6.3413e-018	1.5923e-003	1.7003e-002	6.5187e-002	9.1691e-002	3.6150e-004	-6.6248e-002	3.3780e-002	2.7506e-002	-5.4384e-002	3.5721e-002
5.100000e+002	7.4888e-009	-1.4468e-016	1.6850e-005	-1.0294e-017	9.6830e-004	1.1830e-002	5.2738e-002	9.3400e-002	3.0511e-002	-6.6357e-002	2.2418e-003	5.1970e-002	-4.6923e-002	3.3065e-003
5.200000e+002	3.0516e-009	-6.7048e-017	8.7010e-006	-1.7037e-017	5.7900e-004	8.0488e-003	4.1288e-002	8.8979e-002	5.6349e-002	-5.2475e-002	-2.9914e-002	5.8916e-002	-2.0904e-002	-3.0601e-002
5.300000e+002	1.2327e-009	-3.0747e-017	4.4375e-006	-2.8707e-017	3.4069e-004	5.3622e-003	3.1378e-002	8.0349e-002	7.5256e-002	-2.8493e-002	-5.4370e-002	4.7082e-002	1.3000e-002	-5.1253e-002
5.400000e+002	4.9368e-010	-1.3956e-017	2.2360e-006	-4.9200e-017	1.9738e-004	3.5021e-003	2.3205e-002	6.9374e-002	8.6272e-002	4.5855e-004	-6.5815e-002	2.1093e-002	4.2236e-002	-5.0632e-002
5.500000e+002	1.9607e-010	-6.2717e-018	1.1135e-006	-8.5699e-017	1.1267e-004	2.2443e-003	1.6733e-002	5.7619e-002	8.9788e-002	2.9338e-002	-6.2690e-002	-1.0858e-002	5.7064e-002	-2.9903e-002
5.600000e+002	7.7232e-011	-2.7910e-018	5.4824e-007	-1.5160e-016	6.3390e-005	1.4126e-003	1.1786e-002	4.6238e-002	8.7092e-002	5.4149e-002	-4.6801e-002	-3.9933e-002	5.3439e-002	2.1698e-003
5.700000e+002	3.0177e-011	-1.2302e-018	2.6693e-007	-2.7218e-016	3.5172e-005	8.7389e-004	8.1198e-003	3.5974e-002	7.9908e-002	7.2404e-002	-2.2207e-002	-5.9132e-002	3.3475e-002	3.3458e-002
5.800000e+002	1.1698e-011	-5.3719e-019	1.2856e-007	-4.9569e-016	1.9253e-005	5.3173e-004	5.4784e-003	2.7207e-002	7.0002e-002	8.3161e-002	6.1276e-003	-6.4741e-002	3.8621e-003	5.3228e-002
5.900000e+002	4.4993e-012	-2.3242e-019	6.1258e-008	-9.1528e-016	1.0401e-005	3.1841e-004	3.6238e-003	2.0045e-002	5.8930e-002	8.6752e-002	3.3537e-002	-5.6596e-002	-2.6797e-002	5.5601e-002
6.000000e+002	1.7173e-012	-9.9652e-020	2.8887e-008	-1.7128e-015	5.5479e-006	1.8776e-004	2.3521e-003	1.4414e-002	4.7896e-002	8.4368e-002	5.6459e-002	-3.7408e-002	-5.0661e-002	4.0762e-002
6.100000e+002	6.5048e-013	-4.2348e-020	1.3484e-008	-3.2469e-015	2.9226e-006	1.0908e-004	1.4994e-003	1.0131e-002	3.7716e-002	7.7625e-002	7.2798e-002	-1.1564e-002	-6.2551e-002	1.4006e-002
6.200000e+002	2.4456e-013	-1.7840e-020	6.2308e-009	-6.2331e-015	1.5210e-006	6.2458e-005	9.3935e-004	6.9686e-003	2.8856e-002	6.8202e-002	8.1897e-002	1.6140e-002	-6.0729e-002	-1.6604e-002
6.300000e+002	9.1268e-014	-7.4506e-021	2.8511e-009	-1.2113e-014	7.8220e-007	3.5266e-005	5.7876e-004	4.6965e-003	2.1498e-002	5.7587e-002	8.4249e-002	4.1524e-002	-4.6631e-002	-4.2928e-002
6.400000e+002	3.3813e-014	-3.0854e-021	1.2920e-009	-2.3824e-014	3.9762e-007	1.9643e-005	3.5091e-004	3.1043e-003	1.5625e-002	4.6948e-002	8.1094e-002	6.1646e-002	-2.3900e-002	-5.8901e-002
6.500000e+002	1.2437e-014	-1.2670e-021	5.7995e-010	-4.7405e-014	1.9984e-007	1.0797e-005	2.0947e-004	2.0141e-003	1.1096e-002	3.7083e-002	7.4014e-002	7.5004e-002	2.8500e-003	-6.1671e-002
6.600000e+002	4.5421e-015	-5.1605e-022	2.5790e-010	-9.5408e-014	9.9328e-008	5.8581e-006	1.2318e-004	1.2837e-003	7.7091e-003	2.8459e-002	6.4604e-002	8.1400e-002	2.9169e-002	-5.1660e-002
6.700000e+002	1.6472e-015	-2.0847e-022	1.1363e-010	-1.9418e-013	4.8833e-008	3.1386e-006	7.1383e-005	8.0427e-004	5.2462e-003	2.1267e-002	5.4251e-002	8.1615e-002	5.1569e-002	-3.1815e-002
6.800000e+002	5.9318e-016	-8.3544e-023	4.9614e-011	-3.9953e-013	2.3752e-008	1.6610e-006	4.0785e-005	4.9564e-004	3.5004e-003	1.5504e-002	4.4019e-002	7.7007e-002	6.7909e-002	-6.4506e-003
6.900000e+002	2.1215e-016	-3.3215e-023	2.1469e-011	-8.3092e-013	1.1432e-008	8.6847e-007	2.2983e-005	3.0062e-004	2.2919e-003	1.1043e-002	3.4628e-002	6.9145e-002	7.7411e-002	1.9925e-002
7.000000e+002	7.5356e-017	-1.3102e-023	9.2088e-012	-1.7464e-012	5.4456e-009	4.4876e-007	1.2778e-005	1.7954e-004	1.4738e-003	7.6953e-003	2.6478e-002	5.9522e-002	8.0419e-002	4.3513e-002
7.100000e+002	2.6587e-017	-5.1283e-024	3.9156e-012	-3.7084e-012	2.5678e-009	2.2922e-007	7.0121e-006	1.0563e-004	9.3141e-004	5.2521e-003	1.9722e-002	4.9382e-002	7.8029e-002	6.1744e-002
7.200000e+002	9.3175e-018	-1.9919e-024	1.6507e-012	-7.9551e-012	1.1987e-009	1.1576e-007	3.7990e-006	6.1253e-005	5.7885e-004	3.5144e-003	1.4335e-002	3.9639e-002	7.1710e-002	7.3408e-002
7.300000e+002	3.2438e-018	-7.6787e-025	6.9001e-013	-1.7236e-011	5.5414e-010	5.7814e-008	2.0326e-006	3.5021e-005	3.5398e-004	2.3076e-003	1.0183e-002	3.0880e-002	6.2979e-002	7.8494e-002
7.400000e+002	1.1219e-018	-2.9379e-025	2.8602e-013	-3.7712e-011	2.5370e-010	2.8561e-008	1.0743e-006	1.9749e-005	2.1311e-004	1.4880e-003	7.0781e-003	2.3403e-002	5.3184e-002	7.7858e-002
7.500000e+002	3.8549e-019	-1.1157e-025	1.1758e-013	-8.3314e-011	1.1504e-010	1.3959e-008	5.6105e-007	1.0989e-005	1.2637e-004	9.4293e-004	4.8197e-003	1.7289e-002	4.3379e-002	7.2847e-002
7.600000e+002	1.3160e-019	-4.2062e-026	4.7945e-014	-1.8581e-010	5.1679e-011	6.7508e-009	2.8958e-007	6.0349e-006	7.3841e-005	5.8757e-004	3.2180e-003	1.2470e-002	3.4291e-002	6.4960e-002
7.700000e+002	4.4641e-020	-1.5742e-026	1.9392e-014	-4.1832e-010	2.3001e-011	3.2311e-009	1.4776e-007	3.2722e-006	4.2534e-005	3.6025e-004	2.1087e-003	8.7947e-003	2.6341e-002	5.5594e-002
7.800000e+002	1.5047e-020	-5.8493e-027	7.7810e-015	-9.5048e-010	1.0144e-011	1.5308e-009	7.4548e-008	1.7522e-006	2.4162e-005	2.1744e-004	1.3571e-003	6.0718e-003	1.9706e-002	4.5888e-002
7.900000e+002	5.0398e-021	-2.1580e-027	3.0975e-015	-2.1794e-009	4.4335e-012	7.1802e-010	3.7197e-008	9.2684e-007	1.3540e-005	1.2926e-004	8.5836e-004	4.1078e-003	1.4382e-002	3.6668e-002
8.000000e+002	1.6775e-021	-7.9052e-028	1.2235e-015	-5.0421e-009	1.9205e-012	3.3347e-010	1.8359e-008	4.8443e-007	7.4882e-006	7.5709e-005	5.3392e-004	2.7259e-003	1.0257e-002	2.8449e-002
8.100000e+002	5.5491e-022	-2.8757e-028	4.7953e-016	-1.1769e-008	8.2463e-013	1.5337e-010	8.9648e-009	2.5024e-007	4.0880e-006	4.3713e-005	3.2679e-004	1.7757e-003	7.1563e-003	2.1480e-002
8.200000e+002	1.8243e-022	-1.0388e-028	1.8651e-016	-2.7712e-008	3.5102e-013	6.9864e-011	4.3318e-009	1.2779e-007	2.2037e-006	2.4889e-005	1.9691e-004	1.1363e-003	4.8905e-003	1.5813e-002
8.300000e+002	5.9611e-023	-3.7270e-029	7.1996e-017	-6.5818e-008	1.4814e-013	3.1526e-011	2.0716e-009	6.4521e-008	1.1733e-006	1.3979e-005	1.1687e-004	7.1480e-004	3.2766e-003	1.1369e-002
8.400000e+002	1.9360e-023	-1.3281e-029	2.7584e-017	-1.5766e-007	6.1995e-014	1.4094e-011	9.8063e-010	3.2218e-008	6.1719e-007	7.7478e-006	6.8346e-005	4.4229e-004	2.1542e-003	7.9932e-003
8.500000e+002	6.2500e-024	-4.7004e-030	1.0490e-017	-3.8085e-007	2.5727e-014	6.2428e-012	4.5958e-010	1.5914e-008	3.2083e-007	4.2388e-006	3.9401e-005	2.6933e-004	1.3908e-003	5.5023e-003
8.600000e+002	2.0057e-024	-1.6525e-030	3.9599e-018	-9.2768e-007	1.0588e-014	2.7403e-012	2.1327e-010	7.7766e-009	1.6484e-007	2.2897e-006	2.2401e-005	1.6149e-004	8.8237e-004	3.7123e-003
8.700000e+002	6.3981e-025	-5.7711e-031	1.4840e-018	-2.2783e-006	4.3221e-015	1.1921e-012	9.8010e-011	3.7604e-009	8.3737e-008	1.2216e-006	1.2563e-005	9.5382e-005	5.5048e-004	2.4569e-003
