Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
5.500000e+002	2.5791e-010	2.4913e-006	3.2262e-004	6.6736e-003	4.1558e-002	8.6423e-002	2.0766e-002	-5.9008e-002	3.2622e-002	6.5294e-003	-3.3934e-002
5.600000e+002	1.0676e-010	1.3310e-006	2.0102e-004	4.7255e-003	3.3509e-002	8.2750e-002	4.0364e-002	-5.7795e-002	1.3994e-002	2.6425e-002	-4.4077e-002
5.700000e+002	4.3992e-011	7.0631e-007	1.2413e-004	3.3060e-003	2.6551e-002	7.6670e-002	5.6756e-002	-4.9532e-002	-6.8549e-003	4.1269e-002	-4.4481e-002
5.800000e+002	1.8048e-011	3.7241e-007	7.6000e-005	2.2868e-003	2.0703e-002	6.9068e-002	6.9162e-002	-3.5685e-002	-2.6679e-002	4.8605e-002	-3.5469e-002
5.900000e+002	7.3734e-012	1.9515e-007	4.6154e-005	1.5651e-003	1.5906e-002	6.0712e-002	7.7330e-002	-1.8134e-002	-4.2753e-002	4.7533e-002	-1.9264e-002
6.000000e+002	3.0001e-012	1.0166e-007	2.7813e-005	1.0604e-003	1.2053e-002	5.2217e-002	8.1428e-002	1.1426e-003	-5.3188e-002	3.8649e-002	6.8026e-004
6.100000e+002	1.2159e-012	5.2657e-008	1.6636e-005	7.1156e-004	9.0163e-003	4.4041e-002	8.1922e-002	2.0320e-002	-5.7050e-002	2.3737e-002	2.0498e-002
6.200000e+002	4.9094e-013	2.7126e-008	9.8807e-006	4.7317e-004	6.6640e-003	3.6492e-002	7.9454e-002	3.7899e-002	-5.4328e-002	5.3155e-003	3.6675e-002
6.300000e+002	1.9750e-013	1.3901e-008	5.8286e-006	3.1194e-004	4.8699e-003	2.9748e-002	7.4741e-002	5.2795e-002	-4.5762e-002	-1.3850e-002	4.6626e-002
6.400000e+002	7.9169e-014	7.0872e-009	3.4159e-006	2.0395e-004	3.5208e-003	2.3890e-002	6.8487e-002	6.4359e-002	-3.2625e-002	-3.1184e-002	4.9019e-002
6.500000e+002	3.1628e-014	3.5958e-009	1.9894e-006	1.3230e-004	2.5198e-003	1.8920e-002	6.1331e-002	7.2338e-002	-1.6471e-002	-4.4623e-002	4.3830e-002
6.600000e+002	1.2593e-014	1.8157e-009	1.1516e-006	8.5175e-005	1.7862e-003	1.4791e-002	5.3812e-002	7.6812e-002	1.0856e-003	-5.2812e-002	3.2180e-002
6.700000e+002	4.9980e-015	9.1267e-010	6.6276e-007	5.4440e-005	1.2546e-003	1.1424e-002	4.6353e-002	7.8106e-002	1.8558e-002	-5.5161e-002	1.6013e-002
6.800000e+002	1.9775e-015	4.5673e-010	3.7929e-007	3.4554e-005	8.7357e-004	8.7224e-003	3.9264e-002	7.6702e-002	3.4707e-002	-5.1789e-002	-2.2919e-003
6.900000e+002	7.8000e-016	2.2758e-010	2.1589e-007	2.1786e-005	6.0322e-004	6.5885e-003	3.2751e-002	7.3163e-002	4.8613e-002	-4.3391e-002	-2.0306e-002
7.000000e+002	3.0676e-016	1.1293e-010	1.2224e-007	1.3647e-005	4.1323e-004	4.9262e-003	2.6932e-002	6.8063e-002	5.9696e-002	-3.1066e-002	-3.5878e-002
7.100000e+002	1.2030e-016	5.5812e-011	6.8865e-008	8.4962e-006	2.8093e-004	3.6478e-003	2.1856e-002	6.1947e-002	6.7692e-002	-1.6127e-002	-4.7363e-002
7.200000e+002	4.7044e-017	2.7475e-011	3.8605e-008	5.2578e-006	1.8959e-004	2.6764e-003	1.7519e-002	5.5290e-002	7.2609e-002	6.7947e-005	-5.3747e-002
7.300000e+002	1.8347e-017	1.3474e-011	2.1539e-008	3.2350e-006	1.2705e-004	1.9465e-003	1.3881e-002	4.8488e-002	7.4665e-002	1.6258e-002	-5.4670e-002
7.400000e+002	7.1362e-018	6.5832e-012	1.1962e-008	1.9793e-006	8.4569e-005	1.4038e-003	1.0879e-002	4.1845e-002	7.4223e-002	3.1377e-002	-5.0363e-002
7.500000e+002	2.7685e-018	3.2049e-012	6.6134e-009	1.2045e-006	5.5924e-005	1.0044e-003	8.4384e-003	3.5584e-002	7.1728e-002	4.4611e-002	-4.1530e-002
7.600000e+002	1.0713e-018	1.5548e-012	3.6405e-009	7.2914e-007	3.6749e-005	7.1309e-004	6.4816e-003	2.9850e-002	6.7658e-002	5.5419e-002	-2.9202e-002
7.700000e+002	4.1356e-019	7.5171e-013	1.9955e-009	4.3915e-007	2.4003e-005	5.0255e-004	4.9325e-003	2.4724e-002	6.2479e-002	6.3522e-002	-1.4579e-002
7.800000e+002	1.5926e-019	3.6222e-013	1.0893e-009	2.6320e-007	1.5586e-005	3.5167e-004	3.7205e-003	2.0236e-002	5.6616e-002	6.8870e-002	1.1103e-003
7.900000e+002	6.1186e-020	1.7397e-013	5.9229e-010	1.5699e-007	1.0063e-005	2.4441e-004	2.7827e-003	1.6380e-002	5.0436e-002	7.1599e-002	1.6725e-002
8.000000e+002	2.3453e-020	8.3294e-014	3.2078e-010	9.3204e-008	6.4612e-006	1.6875e-004	2.0644e-003	1.3119e-002	4.4238e-002	7.1982e-002	3.1293e-002
8.100000e+002	8.9694e-021	3.9756e-014	1.7307e-010	5.5086e-008	4.1267e-006	1.1577e-004	1.5198e-003	1.0403e-002	3.8252e-002	7.0373e-002	4.4063e-002
8.200000e+002	3.4227e-021	1.8918e-014	9.3034e-011	3.2414e-008	2.6220e-006	7.8939e-005	1.1105e-003	8.1720e-003	3.2640e-002	6.7174e-002	5.4525e-002
8.300000e+002	1.3033e-021	8.9758e-015	4.9830e-011	1.8992e-008	1.6576e-006	5.3507e-005	8.0564e-004	6.3618e-003	2.7510e-002	6.2788e-002	6.2400e-002
8.400000e+002	4.9523e-022	4.2463e-015	2.6595e-011	1.1082e-008	1.0428e-006	3.6060e-005	5.8047e-004	4.9102e-003	2.2920e-002	5.7596e-002	6.7616e-002
8.500000e+002	1.8779e-022	2.0032e-015	1.4145e-011	6.4397e-009	6.5296e-007	2.4167e-005	4.1545e-004	3.7588e-003	1.8887e-002	5.1940e-002	7.0274e-002
8.600000e+002	7.1064e-023	9.4240e-016	7.4985e-012	3.7275e-009	4.0696e-007	1.6110e-005	2.9545e-004	2.8548e-003	1.5404e-002	4.6109e-002	7.0601e-002
8.700000e+002	2.6839e-023	4.4215e-016	3.9619e-012	2.1492e-009	2.5250e-007	1.0682e-005	2.0880e-004	2.1517e-003	1.2438e-002	4.0333e-002	6.8911e-002
8.800000e+002	1.0117e-023	2.0690e-016	2.0866e-012	1.2346e-009	1.5598e-007	7.0472e-006	1.4667e-004	1.6097e-003	9.9466e-003	3.4789e-002	6.5563e-002
8.900000e+002	3.8062e-024	9.6566e-017	1.0955e-012	7.0656e-010	9.5948e-008	4.6260e-006	1.0242e-004	1.1955e-003	7.8789e-003	2.9597e-002	6.0928e-002
9.000000e+002	1.4293e-024	4.4955e-017	5.7338e-013	4.0292e-010	5.8771e-008	3.0217e-006	7.1101e-005	8.8143e-004	6.1812e-003	2.4836e-002	5.5364e-002
9.100000e+002	5.3575e-025	2.0876e-017	2.9920e-013	2.2894e-010	3.5849e-008	1.9640e-006	4.9060e-005	6.4489e-004	4.8001e-003	2.0541e-002	4.9192e-002
9.200000e+002	2.0045e-025	9.6709e-018	1.5566e-013	1.2962e-010	2.1773e-008	1.2698e-006	3.3629e-005	4.6783e-004	3.6853e-003	1.6721e-002	4.2690e-002
9.300000e+002	7.4867e-026	4.4689e-018	8.0731e-014	7.3107e-011	1.3160e-008	8.1596e-007	2.2870e-005	3.3587e-004	2.7902e-003	1.3354e-002	3.6076e-002
9.400000e+002	2.7912e-026	2.0596e-018	4.1718e-014	4.1032e-011	7.9030e-009	5.1991e-007	1.5381e-005	2.3765e-004	2.0729e-003	1.0406e-002	2.9518e-002
9.500000e+002	1.0384e-026	9.4560e-019	2.1432e-014	2.2841e-011	4.6936e-009	3.2649e-007	1.0154e-005	1.6427e-004	1.4960e-003	7.8257e-003	2.3123e-002
9.600000e+002	3.8456e-027	4.3007e-019	1.0853e-014	1.2468e-011	2.7187e-009	1.9881e-007	6.4601e-006	1.0871e-004	1.0264e-003	5.5526e-003	1.6948e-002
9.700000e+002	1.3919e-027	1.8841e-019	5.2322e-015	6.4125e-012	1.4696e-009	1.1195e-007	3.7670e-006	6.5372e-005	6.3446e-004	3.5196e-003	1.1001e-002
9.800000e+002	4.2208e-028	6.7459e-020	2.0213e-015	2.6018e-012	6.1837e-010	4.8497e-008	1.6721e-006	2.9632e-005	2.9295e-004	1.6522e-003	5.2443e-003
9.900000e+002	-9.6189e-029	-1.0016e-020	-2.5071e-016	-2.8818e-013	-6.3023e-011	-4.6257e-009	-1.5090e-007	-2.5494e-006	-2.4163e-005	-1.3121e-004	-4.0201e-004
1.000000e+003	1.8230e-028	2.3872e-020	6.7059e-016	8.3343e-013	1.9354e-010	1.4923e-008	5.0775e-007	8.9019e-006	8.7218e-005	4.8812e-004	1.5388e-003
