Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
6.000000e+002	1.0467e-015	2.2537e-010	5.5203e-007	6.6542e-005	1.7220e-003	1.5576e-002	5.7597e-002	7.7483e-002	-8.5505e-003	-4.9073e-002	4.1385e-002	-3.6511e-003
6.100000e+002	3.6753e-016	1.0325e-010	3.0217e-007	4.1220e-005	1.1858e-003	1.1900e-002	4.9542e-002	8.0151e-002	1.0175e-002	-5.5393e-002	2.8437e-002	1.5907e-002
6.200000e+002	1.2867e-016	4.7099e-011	1.6445e-007	2.5349e-005	8.0905e-004	8.9807e-003	4.1837e-002	7.9626e-002	2.8089e-002	-5.5355e-002	1.1345e-002	3.2693e-002
6.300000e+002	4.4914e-017	2.1395e-011	8.9002e-008	1.5479e-005	5.4713e-004	6.6994e-003	3.4742e-002	7.6530e-002	4.3970e-002	-4.9381e-002	-7.3148e-003	4.4030e-002
6.400000e+002	1.5634e-017	9.6799e-012	4.7912e-008	9.3894e-006	3.6690e-004	4.9433e-003	2.8408e-002	7.1523e-002	5.6994e-002	-3.8474e-002	-2.5018e-002	4.8349e-002
6.500000e+002	5.4271e-018	4.3624e-012	2.5660e-008	5.6587e-006	2.4407e-004	3.6101e-003	2.2899e-002	6.5241e-002	6.6720e-002	-2.3998e-002	-3.9625e-002	4.5307e-002
6.600000e+002	1.8790e-018	1.9586e-012	1.3674e-008	3.3891e-006	1.6111e-004	2.6107e-003	1.8215e-002	5.8249e-002	7.3050e-002	-7.4629e-003	-4.9605e-002	3.5684e-002
6.700000e+002	6.4884e-019	8.7610e-013	7.2516e-009	2.0177e-006	1.0556e-004	1.8705e-003	1.4310e-002	5.1019e-002	7.6156e-002	9.6620e-003	-5.4127e-002	2.1118e-002
6.800000e+002	2.2350e-019	3.9050e-013	3.8278e-009	1.1943e-006	6.8681e-005	1.3283e-003	1.1112e-002	4.3916e-002	7.6403e-002	2.6087e-002	-5.3053e-002	3.7658e-003
6.900000e+002	7.6797e-020	1.7345e-013	2.0114e-009	7.0299e-007	4.4380e-005	9.3537e-004	8.5345e-003	3.7206e-002	7.4277e-002	4.0791e-002	-4.6835e-002	-1.4058e-002
7.000000e+002	2.6326e-020	7.6785e-014	1.0523e-009	4.1156e-007	2.8490e-005	6.5334e-004	6.4870e-003	3.1064e-002	7.0309e-002	5.3060e-002	-3.6371e-002	-3.0207e-002
7.100000e+002	9.0033e-021	3.3881e-014	5.4819e-010	2.3969e-007	1.8173e-005	4.5282e-004	4.8824e-003	2.5586e-002	6.5031e-002	6.2488e-002	-2.2833e-002	-4.2942e-002
7.200000e+002	3.0722e-021	1.4902e-014	2.8440e-010	1.3889e-007	1.1522e-005	3.1152e-004	3.6404e-003	2.0809e-002	5.8931e-002	6.8946e-002	-7.5029e-003	-5.1082e-002
7.300000e+002	1.0460e-021	6.5341e-015	1.4695e-010	8.0088e-008	7.2622e-006	2.1278e-004	2.6903e-003	1.6725e-002	5.2434e-002	7.2532e-002	8.3726e-003	-5.4056e-002
7.400000e+002	3.5536e-022	2.8563e-015	7.5636e-011	4.5961e-008	4.5512e-006	1.4434e-004	1.9713e-003	1.3293e-002	4.5884e-002	7.3514e-002	2.3688e-002	-5.1875e-002
7.500000e+002	1.2048e-022	1.2450e-015	3.8782e-011	2.6255e-008	2.8365e-006	9.7270e-005	1.4328e-003	1.0455e-002	3.9546e-002	7.2270e-002	3.7553e-002	-4.5037e-002
7.600000e+002	4.0761e-023	5.4106e-016	1.9811e-011	1.4931e-008	1.7584e-006	6.5131e-005	1.0332e-003	8.1413e-003	3.3609e-002	6.9235e-002	4.9324e-002	-3.4405e-002
7.700000e+002	1.3763e-023	2.3449e-016	1.0084e-011	8.4538e-009	1.0845e-006	4.3343e-005	7.3957e-004	6.2800e-003	2.8194e-002	6.4860e-002	5.8612e-002	-2.1060e-002
7.800000e+002	4.6379e-024	1.0134e-016	5.1149e-012	4.7663e-009	6.6546e-007	2.8672e-005	5.2557e-004	4.8009e-003	2.3365e-002	5.9570e-002	6.5258e-002	-6.1665e-003
7.900000e+002	1.5599e-024	4.3684e-017	2.5855e-012	2.6762e-009	4.0635e-007	1.8857e-005	3.7092e-004	3.6387e-003	1.9144e-002	5.3750e-002	6.9303e-002	9.1490e-003
8.000000e+002	5.2366e-025	1.8780e-017	1.3026e-012	1.4967e-009	2.4696e-007	1.2333e-005	2.6003e-004	2.7354e-003	1.5519e-002	4.7725e-002	7.0936e-002	2.3885e-002
8.100000e+002	1.7547e-025	8.0530e-018	6.5408e-013	8.3371e-010	1.4940e-007	8.0229e-006	1.8112e-004	2.0402e-003	1.2453e-002	4.1756e-002	7.0456e-002	3.7229e-002
8.200000e+002	5.8691e-026	3.4446e-018	3.2740e-013	4.6264e-010	8.9977e-008	5.1916e-006	1.2538e-004	1.5102e-003	9.8967e-003	3.6040e-002	6.8221e-002	4.8585e-002
8.300000e+002	1.9596e-026	1.4698e-018	1.6337e-013	2.5578e-010	5.3953e-008	3.3424e-006	8.6271e-005	1.1098e-003	7.7939e-003	3.0717e-002	6.4614e-002	5.7579e-002
8.400000e+002	6.5316e-027	6.2562e-019	8.1274e-014	1.4090e-010	3.2214e-008	2.1412e-006	5.9017e-005	8.0994e-004	6.0847e-003	2.5872e-002	6.0014e-002	6.4047e-002
8.500000e+002	2.1733e-027	2.6568e-019	4.0311e-014	7.7339e-011	1.9155e-008	1.3651e-006	4.0146e-005	5.8712e-004	4.7109e-003	2.1550e-002	5.4768e-002	6.8001e-002
