Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
4.400000e+002	1.5053e-006	-2.7476e-013	1.0246e-003	2.2893e-002	9.0035e-002	5.0218e-002	-6.5920e-002	3.5236e-002	-2.0135e-003	-2.1190e-002	3.3732e-002	-3.9075e-002	4.0703e-002
4.500000e+002	6.4428e-007	-1.3352e-013	5.9578e-004	1.6296e-002	7.8875e-002	7.0961e-002	-5.8625e-002	1.1405e-002	2.3411e-002	-3.9771e-002	4.2550e-002	-3.8063e-002	2.9487e-002
4.600000e+002	2.7364e-007	-6.4287e-014	3.4212e-004	1.1381e-002	6.6793e-002	8.5082e-002	-4.2160e-002	-1.4796e-002	4.2959e-002	-4.6885e-002	3.7703e-002	-2.3687e-002	7.0242e-003
4.700000e+002	1.1538e-007	-3.0685e-014	1.9419e-004	7.8117e-003	5.4931e-002	9.2540e-002	-1.9732e-002	-3.8145e-002	5.2370e-002	-4.1186e-002	2.1315e-002	-1.3505e-003	-1.8012e-002
4.800000e+002	4.8323e-008	-1.4528e-014	1.0904e-004	5.2774e-003	4.4033e-002	9.4067e-002	5.2052e-003	-5.4683e-002	5.0166e-002	-2.4817e-002	-1.2953e-003	2.1421e-002	-3.6705e-002
4.900000e+002	2.0108e-008	-6.8257e-015	6.0609e-005	3.5134e-003	3.4501e-002	9.0836e-002	2.9551e-002	-6.2198e-002	3.7515e-002	-2.3542e-003	-2.3545e-002	3.7587e-002	-4.2967e-002
5.000000e+002	8.3167e-009	-3.1838e-015	3.3371e-005	2.3075e-003	2.6485e-002	8.4179e-002	5.0917e-002	-6.0249e-002	1.7534e-002	2.0657e-002	-3.9543e-002	4.2647e-002	-3.5230e-002
5.100000e+002	3.4200e-009	-1.4749e-015	1.8210e-005	1.4965e-003	1.9957e-002	7.5381e-002	6.7776e-002	-4.9872e-002	-5.6579e-003	3.9115e-002	-4.5526e-002	3.5629e-002	-1.6448e-002
5.200000e+002	1.3987e-009	-6.7883e-016	9.8529e-006	9.5914e-004	1.4784e-002	6.5551e-002	7.9429e-002	-3.3105e-002	-2.7880e-002	4.9410e-002	-4.0515e-002	1.8939e-002	7.2974e-003
5.300000e+002	5.6902e-010	-3.1050e-016	5.2887e-006	6.0797e-004	1.0782e-002	5.5560e-002	8.5877e-002	-1.2468e-002	-4.5638e-002	4.9951e-002	-2.6175e-002	-2.6786e-003	2.8923e-002
5.400000e+002	2.3034e-010	-1.4119e-016	2.8172e-006	3.8138e-004	7.7506e-003	4.6035e-002	8.7624e-002	9.4915e-003	-5.6582e-002	4.1170e-002	-6.0910e-003	-2.3629e-002	4.2458e-002
5.500000e+002	9.2799e-011	-6.3843e-017	1.4899e-006	2.3690e-004	5.4968e-003	3.7371e-002	8.5484e-002	3.0543e-002	-5.9664e-002	2.5133e-002	1.5267e-002	-3.8931e-002	4.4557e-002
