Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
3.200000e+002	1.5967e-002	-4.8587e-005	1.2645e-001	1.0241e-002	4.9798e-016	-4.6689e-002	5.5949e-002	-5.5785e-002	5.1719e-002	-4.5867e-002	3.9191e-002	-3.2192e-002	2.5165e-002	-1.8296e-002	1.1714e-002	-5.4848e-003	-5.5642e-004
3.300000e+002	8.2105e-003	-2.5907e-005	1.0464e-001	5.7435e-002	1.0332e-015	-7.3847e-002	6.3722e-002	-4.8520e-002	3.3259e-002	-1.9299e-002	7.0100e-003	3.5474e-003	-1.2419e-002	1.9696e-002	-2.5505e-002	3.0125e-002	-3.4200e-002
3.400000e+002	4.1011e-003	-1.3396e-005	8.0902e-002	9.2460e-002	1.2785e-015	-7.6381e-002	4.4436e-002	-1.7014e-002	-3.9807e-003	1.9293e-002	-2.9914e-002	3.6709e-002	-4.0393e-002	4.1562e-002	-4.0744e-002	3.8522e-002	-3.5537e-002
3.500000e+002	1.9992e-003	-6.7520e-006	5.9346e-002	1.1208e-001	1.2231e-015	-5.6904e-002	8.2932e-003	2.2222e-002	-3.9153e-002	4.6738e-002	-4.7951e-002	4.4857e-002	-3.8936e-002	3.1281e-002	-2.2717e-002	1.3864e-002	-4.9134e-003
3.600000e+002	9.5434e-004	-3.3291e-006	4.1718e-002	1.1743e-001	9.2787e-016	-2.3263e-002	-3.0670e-002	5.2234e-002	-5.5528e-002	4.9015e-002	-3.7594e-002	2.4199e-002	-1.0639e-002	-1.9677e-003	1.2966e-002	-2.2145e-002	2.9936e-002
3.700000e+002	4.4730e-004	-1.6102e-006	2.8300e-002	1.1190e-001	4.8300e-016	1.5361e-002	-6.0267e-002	6.2380e-002	-4.7171e-002	2.6598e-002	-6.2815e-003	-1.1157e-002	2.4622e-002	-3.3840e-002	3.9022e-002	-4.0791e-002	4.0077e-002
3.800000e+002	2.0626e-004	-7.6559e-007	1.8621e-002	9.9498e-002	-2.4716e-017	5.1174e-002	-7.3341e-002	5.0746e-002	-1.9275e-002	-8.3895e-003	2.8336e-002	-4.0085e-002	4.4534e-002	-4.3096e-002	3.7321e-002	-2.8726e-002	1.8389e-002
3.900000e+002	9.3718e-005	-3.5846e-007	1.1930e-002	8.3805e-002	-5.2991e-016	7.9073e-002	-6.8386e-002	2.2833e-002	1.6057e-002	-3.9650e-002	4.8847e-002	-4.7050e-002	3.7945e-002	-2.4774e-002	1.0133e-002	4.1521e-003	-1.7381e-002
4.000000e+002	4.2017e-005	-1.6551e-007	7.4648e-003	6.7528e-002	-9.9502e-016	9.6808e-002	-4.8405e-002	-1.1808e-002	4.5613e-002	-5.4330e-002	4.6312e-002	-2.9465e-002	9.7663e-003	8.7565e-003	-2.3712e-002	3.4130e-002	-4.0294e-002
4.100000e+002	1.8607e-005	-7.5441e-008	4.5726e-003	5.2412e-002	-1.4089e-015	1.0444e-001	-1.8958e-002	-4.3256e-002	5.9863e-002	-4.7607e-002	2.3049e-002	2.7817e-003	-2.3733e-002	3.7123e-002	-4.2555e-002	4.1096e-002	-3.4375e-002
4.200000e+002	8.1467e-006	-3.3981e-008	2.7474e-003	3.9383e-002	-1.7822e-015	1.0353e-001	1.3767e-002	-6.3980e-002	5.5379e-002	-2.3204e-002	-1.0010e-002	3.3708e-002	-4.4839e-002	4.4439e-002	-3.5437e-002	2.1282e-002	-4.6360e-003
4.300000e+002	3.5291e-006	-1.5138e-008	1.6218e-003	2.8761e-002	-2.1419e-015	9.6365e-002	4.4404e-002	-7.0205e-002	3.4742e-002	9.3213e-003	-3.9027e-002	4.9340e-002	-4.3486e-002	2.7501e-002	-7.4552e-003	-1.1947e-002	2.8216e-002
4.400000e+002	1.5136e-006	-6.6737e-009	9.4189e-004	2.0474e-002	-2.5285e-015	8.5309e-002	6.9200e-002	-6.1933e-002	4.6708e-003	3.8771e-002	-5.3075e-002	4.3578e-002	-2.1225e-002	-3.8936e-003	2.4766e-002	-3.7886e-002	4.2685e-002
4.500000e+002	6.4307e-007	-2.9136e-009	5.3876e-004	1.4242e-002	-2.9952e-015	7.2444e-002	8.6220e-002	-4.2057e-002	-2.6579e-002	5.6171e-002	-4.7780e-002	1.9756e-002	1.0833e-002	-3.3316e-002	4.3378e-002	-4.1430e-002	3.0160e-002
4.600000e+002	2.7079e-007	-1.2602e-009	3.0382e-004	9.7006e-003	-3.6116e-015	5.9368e-002	9.5127e-002	-1.5071e-002	-5.1606e-002	5.7140e-002	-2.5947e-002	-1.1893e-002	3.8089e-002	-4.6472e-002	3.8947e-002	-2.1243e-002	-8.8636e-004
4.700000e+002	1.1306e-007	-5.4033e-010	1.6905e-004	6.4798e-003	-4.4719e-015	4.7160e-002	9.6751e-002	1.4198e-002	-6.5457e-002	4.2396e-002	4.4125e-003	-3.9039e-002	4.9126e-002	-3.7755e-002	1.4510e-002	1.0740e-002	-3.1404e-002
4.800000e+002	4.6827e-008	-2.2972e-010	9.2885e-005	4.2510e-003	-5.7095e-015	3.6438e-002	9.2601e-002	4.1556e-002	-6.6235e-002	1.6710e-002	3.3397e-002	-5.2063e-002	4.0075e-002	-1.1904e-002	-1.7136e-002	3.6940e-002	-4.3717e-002
4.900000e+002	1.9243e-008	-9.6882e-011	5.0427e-005	2.7421e-003	-7.5221e-015	2.7457e-002	8.4435e-002	6.3996e-002	-5.4867e-002	-1.3017e-002	5.2515e-002	-4.7103e-002	1.5289e-002	1.9155e-002	-4.0548e-002	4.3855e-002	-3.1401e-002
5.000000e+002	7.8491e-009	-4.0543e-011	2.7066e-005	1.7410e-003	-1.0211e-014	2.0222e-002	7.3940e-002	7.9873e-002	-3.4302e-002	-3.9801e-002	5.6948e-002	-2.6615e-002	-1.5258e-002	4.2136e-002	-4.5117e-002	2.8566e-002	-1.8901e-003
5.100000e+002	3.1786e-009	-1.6841e-011	1.4369e-005	1.0890e-003	-1.4246e-014	1.4584e-002	6.2539e-002	8.8783e-002	-8.5143e-003	-5.8201e-002	4.6330e-002	2.2381e-003	-4.0289e-002	4.7994e-002	-2.9412e-002	-7.4746e-004	2.8627e-002
5.200000e+002	1.2783e-009	-6.9448e-012	7.5493e-006	6.7160e-004	-2.0371e-014	1.0314e-002	5.1305e-002	9.1275e-002	1.8443e-002	-6.5207e-002	2.4158e-002	3.0421e-002	-5.1357e-002	3.5064e-002	-9.2823e-004	-2.9705e-002	4.4334e-002
5.300000e+002	5.1059e-010	-2.8440e-012	3.9265e-006	4.0863e-004	-2.9782e-014	7.1628e-003	4.0955e-002	8.8496e-002	4.3136e-002	-6.0399e-002	-3.6862e-003	4.9939e-002	-4.5374e-002	8.9186e-003	2.7945e-002	-4.4955e-002	3.7751e-002
5.400000e+002	2.0262e-010	-1.1568e-012	2.0225e-006	2.4545e-004	-4.4422e-014	4.8897e-003	3.1893e-002	8.1866e-002	6.3145e-002	-4.5506e-002	-3.0718e-002	5.5943e-002	-2.4971e-002	-2.0461e-002	4.5482e-002	-4.0098e-002	1.2725e-002
