V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
0.000e+000	4.7281e-007	-1.0433e+013	-1.0403e+013	1.0403e+013	5.2500e-015
5.000e-002	4.7334e-007	-1.0580e+013	-1.0551e+013	1.0551e+013	5.2500e-015
1.000e-001	4.7384e-007	-1.0728e+013	-1.0699e+013	1.0699e+013	5.2500e-015
1.500e-001	4.7432e-007	-1.0876e+013	-1.0846e+013	1.0846e+013	5.2500e-015
2.000e-001	4.7477e-007	-1.1024e+013	-1.0995e+013	1.0995e+013	5.2500e-015
2.500e-001	4.7520e-007	-1.1172e+013	-1.1143e+013	1.1143e+013	5.2500e-015
3.000e-001	4.7561e-007	-1.1321e+013	-1.1291e+013	1.1291e+013	5.2500e-015
3.500e-001	4.7600e-007	-1.1469e+013	-1.1440e+013	1.1440e+013	5.2500e-015
4.000e-001	4.7637e-007	-1.1618e+013	-1.1588e+013	1.1588e+013	5.2500e-015
4.500e-001	4.7672e-007	-1.1767e+013	-1.1737e+013	1.1737e+013	5.2500e-015
5.000e-001	4.7706e-007	-1.1915e+013	-1.1886e+013	1.1886e+013	5.2500e-015
5.500e-001	4.7739e-007	-1.2064e+013	-1.2035e+013	1.2035e+013	5.2500e-015
6.000e-001	4.7770e-007	-1.2213e+013	-1.2184e+013	1.2184e+013	5.2500e-015
6.500e-001	4.7800e-007	-1.2363e+013	-1.2333e+013	1.2333e+013	5.2500e-015
7.000e-001	4.7828e-007	-1.2512e+013	-1.2482e+013	1.2482e+013	5.2500e-015
7.500e-001	4.7856e-007	-1.2661e+013	-1.2631e+013	1.2631e+013	5.2500e-015
8.000e-001	4.7882e-007	-1.2811e+013	-1.2781e+013	1.2781e+013	5.2500e-015
8.500e-001	4.7908e-007	-1.2960e+013	-1.2930e+013	1.2930e+013	5.2500e-015
9.000e-001	4.7933e-007	-1.3110e+013	-1.3080e+013	1.3080e+013	5.2500e-015
9.500e-001	4.7957e-007	-1.3259e+013	-1.3229e+013	1.3229e+013	5.2500e-015
1.000e+000	4.7980e-007	-1.3409e+013	-1.3379e+013	1.3379e+013	5.2500e-015
1.050e+000	4.8003e-007	-1.3559e+013	-1.3529e+013	1.3529e+013	5.2500e-015
