Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
3.400000e+002	5.5490e-008	9.3402e-003	9.9044e-002	5.9842e-002	4.9158e-014	-7.4193e-002	9.5370e-004	5.8900e-002	-3.8868e-002	2.0124e-002	-4.1538e-003	-8.8414e-003	1.9025e-002	-2.6662e-002	3.2062e-002	-3.5761e-002	3.8537e-002
3.500000e+002	2.5197e-008	5.1453e-003	7.8658e-002	8.9873e-002	5.6301e-014	-7.2218e-002	-1.4749e-004	3.6094e-002	-6.0139e-003	-1.5518e-002	2.9660e-002	-3.7937e-002	4.1660e-002	-4.1883e-002	3.9473e-002	-3.5252e-002	2.9616e-002
3.600000e+002	1.1249e-008	2.7709e-003	5.9651e-002	1.0709e-001	5.1765e-014	-5.2280e-002	-1.2028e-003	1.3781e-003	2.9228e-002	-4.4094e-002	4.8423e-002	-4.5972e-002	3.9322e-002	-3.0256e-002	2.0022e-002	-9.4148e-003	-1.7060e-003
3.700000e+002	4.9473e-009	1.4628e-003	4.3538e-002	1.1236e-001	3.8096e-014	-2.0958e-002	-1.9216e-003	-3.3750e-002	5.3770e-002	-5.3959e-002	4.4114e-002	-2.9912e-002	1.4633e-002	-1.7026e-004	-1.2434e-002	2.2895e-002	-3.1790e-002
3.800000e+002	2.1465e-009	7.5868e-004	3.0758e-002	1.0825e-001	1.8773e-014	1.4340e-002	-2.1566e-003	-5.9733e-002	6.0133e-002	-4.2440e-002	2.0023e-002	9.8818e-004	-1.7965e-002	3.0014e-002	-3.7163e-002	4.0107e-002	-3.9706e-002
3.900000e+002	9.1994e-010	3.8724e-004	2.1122e-002	9.7869e-002	-2.8539e-015	4.7286e-002	-1.9039e-003	-7.1067e-002	4.7711e-002	-1.5192e-002	-1.2533e-002	3.1423e-002	-4.1315e-002	4.3501e-002	-3.9749e-002	3.1898e-002	-2.0953e-002
4.000000e+002	3.8984e-010	1.9479e-004	1.4146e-002	8.4150e-002	-2.4198e-014	7.3598e-002	-1.2660e-003	-6.6656e-002	2.1516e-002	1.7327e-002	-4.0087e-002	4.7822e-002	-4.4380e-002	3.3818e-002	-1.9594e-002	4.2289e-003	1.1376e-002
4.100000e+002	1.6349e-010	9.6681e-005	9.2650e-003	6.9417e-002	-4.3681e-014	9.1207e-002	-3.9980e-004	-4.8949e-002	-1.0415e-002	4.4217e-002	-5.2531e-002	4.3913e-002	-2.6634e-002	6.8687e-003	1.1338e-002	-2.5927e-002	3.6585e-002
4.200000e+002	6.7901e-011	4.7397e-005	5.9464e-003	5.5280e-002	-6.0706e-014	9.9916e-002	5.3022e-004	-2.2490e-002	-3.9784e-002	5.7657e-002	-4.6258e-002	2.2265e-002	3.0515e-003	-2.3445e-002	3.6268e-002	-4.1373e-002	3.9653e-002
4.300000e+002	2.7947e-011	2.2970e-005	3.7468e-003	4.2695e-002	-7.5496e-014	1.0082e-001	1.3859e-003	7.5534e-003	-6.0144e-002	5.4683e-002	-2.4405e-002	-7.9437e-003	3.1428e-002	-4.2730e-002	4.2705e-002	-3.4151e-002	1.9494e-002
4.400000e+002	1.1405e-011	1.1013e-005	2.3210e-003	3.2094e-002	-8.8899e-014	9.5708e-002	2.0729e-003	3.6532e-002	-6.7990e-002	3.7146e-002	5.2198e-003	-3.5245e-002	4.6908e-002	-4.2700e-002	2.8153e-002	-8.8476e-003	-1.1725e-002
4.500000e+002	4.6171e-012	5.2267e-006	1.4154e-003	2.3548e-002	-1.0222e-013	8.6557e-002	2.5437e-003	6.1002e-002	-6.2881e-002	1.0369e-002	3.3274e-002	-5.0260e-002	4.3958e-002	-2.4117e-002	2.5636e-004	2.0986e-002	-3.6496e-002
4.600000e+002	1.8549e-012	2.4570e-006	8.5059e-004	1.6901e-002	-1.1717e-013	7.5201e-002	2.7919e-003	7.8962e-002	-4.6840e-002	-1.8814e-002	5.1871e-002	-4.8596e-002	2.4473e-002	4.5412e-003	-2.7757e-002	4.0426e-002	-4.1812e-002
4.700000e+002	7.3983e-013	1.1446e-006	5.0421e-004	1.1890e-002	-1.3584e-013	6.3133e-002	2.8404e-003	8.9761e-002	-2.3407e-002	-4.3933e-002	5.6558e-002	-3.1582e-002	-3.8257e-003	3.1375e-002	-4.3522e-002	4.0492e-002	-2.5506e-002
4.800000e+002	2.9304e-013	5.2864e-007	2.9505e-004	8.2104e-003	-1.6093e-013	5.1438e-002	2.7293e-003	9.3797e-002	3.3610e-003	-6.0234e-002	4.6946e-002	-5.0782e-003	-3.0806e-002	4.6086e-002	-4.0751e-002	2.1775e-002	3.5967e-003
4.900000e+002	1.1530e-013	2.4215e-007	1.7056e-004	5.5731e-003	-1.9599e-013	4.0809e-002	2.5054e-003	9.2158e-002	2.9700e-002	-6.5340e-002	2.6161e-002	2.2876e-002	-4.7621e-002	4.3671e-002	-2.1228e-002	-6.7203e-003	3.0948e-002
5.000000e+002	4.5081e-014	1.1005e-007	9.7467e-005	3.7226e-003	-2.4602e-013	3.1608e-002	2.2137e-003	8.6260e-002	5.2673e-002	-5.9235e-002	-4.7589e-004	4.4623e-002	-4.9404e-002	2.5653e-002	6.7173e-003	-3.2294e-002	4.3673e-002
