Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
6.600000e+002	5.0090e-015	1.1438e-009	8.6361e-007	6.9859e-005	1.5546e-003	1.3494e-002	5.1347e-002	7.7841e-002	6.7602e-003	-5.4204e-002	2.8108e-002	2.2561e-002
6.700000e+002	1.9466e-015	5.6870e-010	4.9328e-007	4.4374e-005	1.0857e-003	1.0362e-002	4.3928e-002	7.8170e-002	2.4047e-002	-5.4772e-002	1.1280e-002	3.8595e-002
6.800000e+002	7.5418e-016	2.8153e-010	2.8019e-007	2.7992e-005	7.5178e-004	7.8674e-003	3.6969e-002	7.5956e-002	3.9658e-002	-4.9734e-002	-7.0383e-003	4.8389e-002
6.900000e+002	2.9133e-016	1.3878e-010	1.5830e-007	1.7541e-005	5.1627e-004	5.9103e-003	3.0647e-002	7.1783e-002	5.2773e-002	-3.9939e-002	-2.4474e-002	5.0685e-002
7.000000e+002	1.1221e-016	6.8128e-011	8.8969e-008	1.0922e-005	3.5175e-004	4.3956e-003	2.5054e-002	6.6228e-002	6.2911e-002	-2.6585e-002	-3.9003e-002	4.5460e-002
7.100000e+002	4.3100e-017	3.3312e-011	4.9753e-008	6.7593e-006	2.3786e-004	3.2379e-003	2.0218e-002	5.9822e-002	6.9905e-002	-1.1034e-002	-4.9149e-002	3.3780e-002
7.200000e+002	1.6509e-017	1.6225e-011	2.7688e-008	4.1582e-006	1.5968e-004	2.3635e-003	1.6117e-002	5.3022e-002	7.3840e-002	5.3610e-003	-5.4079e-002	1.7516e-002
7.300000e+002	6.3070e-018	7.8733e-012	1.5336e-008	2.5434e-006	1.0645e-004	1.7103e-003	1.2703e-002	4.6196e-002	7.4997e-002	2.1379e-002	-5.3601e-002	-1.0199e-003
7.400000e+002	2.4032e-018	3.8065e-012	8.4556e-009	1.5471e-006	7.0487e-005	1.2274e-003	9.9043e-003	3.9623e-002	7.3778e-002	3.6021e-002	-4.8081e-002	-1.9429e-002
7.500000e+002	9.1339e-019	1.8338e-012	4.6414e-009	9.3605e-007	4.6374e-005	8.7392e-004	7.6441e-003	3.3499e-002	7.0653e-002	4.8554e-002	-3.8320e-002	-3.5549e-002
7.600000e+002	3.4630e-019	8.8039e-013	2.5368e-009	5.6340e-007	3.0320e-005	6.1749e-004	5.8429e-003	2.7945e-002	6.6107e-002	5.8524e-002	-2.5398e-002	-4.7684e-002
7.700000e+002	1.3098e-019	4.2124e-013	1.3807e-009	3.3740e-007	1.9704e-005	4.3313e-004	4.4253e-003	2.3023e-002	6.0600e-002	6.5729e-002	-1.0522e-002	-5.4738e-002
7.800000e+002	4.9424e-020	2.0089e-013	7.4839e-010	2.0107e-007	1.2731e-005	3.0168e-004	3.3224e-003	1.8747e-002	5.4544e-002	7.0190e-002	5.1049e-003	-5.6262e-002
7.900000e+002	1.8606e-020	9.5496e-014	4.0406e-010	1.1926e-007	8.1793e-006	2.0870e-004	2.4735e-003	1.5099e-002	4.8287e-002	7.2097e-002	2.0395e-002	-5.2401e-002
8.000000e+002	6.9890e-021	4.5254e-014	2.1731e-010	7.0409e-008	5.2263e-006	1.4344e-004	1.8269e-003	1.2035e-002	4.2104e-002	7.1759e-002	3.4445e-002	-4.3802e-002
8.100000e+002	2.6195e-021	2.1379e-014	1.1643e-010	4.1382e-008	3.3218e-006	9.7968e-005	1.3389e-003	9.4993e-003	3.6205e-002	6.9556e-002	4.6577e-002	-3.1467e-002
8.200000e+002	9.7967e-022	1.0070e-014	6.2155e-011	2.4216e-008	2.1005e-006	6.6504e-005	9.7410e-004	7.4281e-003	3.0732e-002	6.5899e-002	5.6352e-002	-1.6608e-002
8.300000e+002	3.6562e-022	4.7295e-015	3.3062e-011	1.4111e-008	1.3216e-006	4.4880e-005	7.0368e-004	5.7571e-003	2.5772e-002	6.1189e-002	6.3555e-002	-4.9881e-004
8.400000e+002	1.3617e-022	2.2149e-015	1.7525e-011	8.1887e-009	8.2751e-007	3.0115e-005	5.0486e-004	4.4243e-003	2.1370e-002	5.5800e-002	6.8166e-002	1.5645e-002
8.500000e+002	5.0613e-023	1.0344e-015	9.2576e-012	4.7328e-009	5.1570e-007	2.0096e-005	3.5984e-004	3.3726e-003	1.7530e-002	5.0059e-002	7.0322e-002	3.0763e-002
8.600000e+002	1.8775e-023	4.8175e-016	4.8741e-012	2.7247e-009	3.1992e-007	1.3339e-005	2.5485e-004	2.5509e-003	1.4236e-002	4.4236e-002	7.0277e-002	4.4006e-002
8.700000e+002	6.9511e-024	2.2377e-016	2.5579e-012	1.5626e-009	1.9758e-007	8.8074e-006	1.7939e-004	1.9151e-003	1.1449e-002	3.8545e-002	6.8355e-002	5.4771e-002
8.800000e+002	2.5687e-024	1.0367e-016	1.3381e-012	8.9281e-010	1.2149e-007	5.7861e-006	1.2552e-004	1.4273e-003	9.1230e-003	3.3143e-002	6.4917e-002	6.2700e-002
8.900000e+002	9.4743e-025	4.7904e-017	6.9779e-013	5.0826e-010	7.4392e-008	3.7826e-006	8.7317e-005	1.0563e-003	7.2041e-003	2.8138e-002	6.0329e-002	6.7660e-002
9.000000e+002	3.4881e-025	2.2081e-017	3.6278e-013	2.8830e-010	4.5362e-008	2.4609e-006	6.0397e-005	7.7635e-004	5.6385e-003	2.3592e-002	5.4936e-002	6.9713e-002
9.100000e+002	1.2819e-025	1.0153e-017	1.8805e-013	1.6297e-010	2.7549e-008	1.5935e-006	4.1541e-005	5.6664e-004	4.3736e-003	1.9534e-002	4.9046e-002	6.9072e-002
9.200000e+002	4.7028e-026	4.6571e-018	9.7188e-014	9.1801e-011	1.6663e-008	1.0269e-006	2.8408e-005	4.1061e-004	3.3605e-003	1.5962e-002	4.2921e-002	6.6054e-002
9.300000e+002	1.7223e-026	2.1311e-018	5.0084e-014	5.1533e-011	1.0037e-008	6.5844e-007	1.9307e-005	2.9519e-004	2.5550e-003	1.2854e-002	3.6769e-002	6.1038e-002
9.400000e+002	6.2966e-027	9.7289e-019	2.5733e-014	2.8823e-011	6.0184e-009	4.1978e-007	1.3025e-005	2.1017e-004	1.9177e-003	1.0171e-002	3.0745e-002	5.4426e-002
9.500000e+002	2.2981e-027	4.4303e-019	1.3177e-014	1.6048e-011	3.5874e-009	2.6554e-007	8.6975e-006	1.4765e-004	1.4145e-003	7.8677e-003	2.4952e-002	4.6612e-002
9.600000e+002	8.3717e-028	2.0107e-019	6.7125e-015	8.8700e-012	2.1171e-009	1.6578e-007	5.7102e-006	1.0153e-004	1.0157e-003	5.8881e-003	1.9446e-002	3.7954e-002
9.700000e+002	3.0396e-028	9.0564e-020	3.3780e-015	4.8198e-012	1.2220e-009	1.0067e-007	3.6250e-006	6.7076e-005	6.9602e-004	4.1741e-003	1.4240e-002	2.8758e-002
9.800000e+002	1.0874e-028	3.9613e-020	1.6316e-015	2.4879e-012	6.6361e-010	5.6993e-008	2.1265e-006	4.0595e-005	4.3316e-004	2.6645e-003	9.3087e-003	1.9264e-002
9.900000e+002	3.4858e-029	1.4863e-020	6.5853e-016	1.0524e-012	2.9065e-010	2.5667e-008	9.8020e-007	1.9091e-005	2.0733e-004	1.2956e-003	4.5927e-003	9.6454e-003
1.000000e+003	-9.3497e-033	-5.0720e-024	-2.5317e-019	-4.3818e-016	-1.2863e-013	-1.1941e-011	-4.7585e-010	-9.6208e-009	-1.0803e-007	-6.9595e-007	-2.5380e-006	-5.4880e-006
