V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-2.200e+000	2.9765e-007	-1.9543e+012	-1.9357e+012	1.9357e+012	5.2500e-015
-2.190e+000	2.9775e-007	-1.9729e+012	-1.9543e+012	1.9543e+012	5.2500e-015
-2.180e+000	2.9785e-007	-1.9915e+012	-1.9729e+012	1.9728e+012	5.2500e-015
-2.170e+000	2.9795e-007	-2.0101e+012	-1.9915e+012	1.9914e+012	5.2500e-015
-2.160e+000	2.9805e-007	-2.0287e+012	-2.0101e+012	2.0100e+012	5.2500e-015
-2.150e+000	2.9815e-007	-2.0473e+012	-2.0287e+012	2.0286e+012	5.2500e-015
-2.140e+000	2.9824e-007	-2.0659e+012	-2.0473e+012	2.0472e+012	5.2500e-015
-2.130e+000	2.9833e-007	-2.0845e+012	-2.0659e+012	2.0659e+012	5.2500e-015
-2.120e+000	2.9842e-007	-2.1031e+012	-2.0845e+012	2.0845e+012	5.2500e-015
-2.110e+000	2.9851e-007	-2.1218e+012	-2.1031e+012	2.1031e+012	5.2500e-015
-2.100e+000	2.9860e-007	-2.1404e+012	-2.1218e+012	2.1217e+012	5.2500e-015
-2.090e+000	2.9869e-007	-2.1591e+012	-2.1404e+012	2.1404e+012	5.2500e-015
-2.080e+000	2.9877e-007	-2.1777e+012	-2.1591e+012	2.1590e+012	5.2500e-015
-2.070e+000	2.9886e-007	-2.1964e+012	-2.1777e+012	2.1777e+012	5.2500e-015
-2.060e+000	2.9894e-007	-2.2150e+012	-2.1964e+012	2.1963e+012	5.2500e-015
-2.050e+000	2.9902e-007	-2.2337e+012	-2.2150e+012	2.2150e+012	5.2500e-015
-2.040e+000	2.9910e-007	-2.2524e+012	-2.2337e+012	2.2336e+012	5.2500e-015
-2.030e+000	2.9918e-007	-2.2710e+012	-2.2524e+012	2.2523e+012	5.2500e-015
-2.020e+000	2.9926e-007	-2.2897e+012	-2.2710e+012	2.2710e+012	5.2500e-015
-2.010e+000	2.9933e-007	-2.3084e+012	-2.2897e+012	2.2897e+012	5.2500e-015
-2.000e+000	2.9941e-007	-2.3271e+012	-2.3084e+012	2.3083e+012	5.2500e-015
-1.990e+000	2.9948e-007	-2.3458e+012	-2.3271e+012	2.3270e+012	5.2500e-015
-1.980e+000	2.9955e-007	-2.3645e+012	-2.3458e+012	2.3457e+012	5.2500e-015
-1.970e+000	2.9962e-007	-2.3832e+012	-2.3645e+012	2.3644e+012	5.2500e-015
-1.960e+000	2.9970e-007	-2.4019e+012	-2.3832e+012	2.3831e+012	5.2500e-015
-1.950e+000	2.9976e-007	-2.4206e+012	-2.4019e+012	2.4018e+012	5.2500e-015
-1.940e+000	2.9983e-007	-2.4393e+012	-2.4206e+012	2.4205e+012	5.2500e-015
-1.930e+000	2.9990e-007	-2.4580e+012	-2.4393e+012	2.4393e+012	5.2500e-015
-1.920e+000	2.9997e-007	-2.4767e+012	-2.4580e+012	2.4580e+012	5.2500e-015
-1.910e+000	3.0003e-007	-2.4955e+012	-2.4767e+012	2.4767e+012	5.2500e-015
-1.900e+000	3.0010e-007	-2.5142e+012	-2.4955e+012	2.4954e+012	5.2500e-015
-1.890e+000	3.0016e-007	-2.5329e+012	-2.5142e+012	2.5142e+012	5.2500e-015
-1.880e+000	3.0022e-007	-2.5517e+012	-2.5329e+012	2.5329e+012	5.2500e-015
-1.870e+000	3.0028e-007	-2.5704e+012	-2.5517e+012	2.5516e+012	5.2500e-015
-1.860e+000	3.0035e-007	-2.5892e+012	-2.5704e+012	2.5704e+012	5.2500e-015
-1.850e+000	3.0041e-007	-2.6079e+012	-2.5892e+012	2.5891e+012	5.2500e-015
-1.840e+000	3.0046e-007	-2.6267e+012	-2.6079e+012	2.6079e+012	5.2500e-015
-1.830e+000	3.0052e-007	-2.6454e+012	-2.6267e+012	2.6266e+012	5.2500e-015
-1.820e+000	3.0058e-007	-2.6642e+012	-2.6454e+012	2.6454e+012	5.2500e-015
-1.810e+000	3.0064e-007	-2.6829e+012	-2.6642e+012	2.6641e+012	5.2500e-015
-1.800e+000	3.0069e-007	-2.7017e+012	-2.6829e+012	2.6829e+012	5.2500e-015
-1.790e+000	3.0075e-007	-2.7205e+012	-2.7017e+012	2.7017e+012	5.2500e-015
-1.780e+000	3.0081e-007	-2.7393e+012	-2.7205e+012	2.7204e+012	5.2500e-015
-1.770e+000	3.0086e-007	-2.7580e+012	-2.7393e+012	2.7392e+012	5.2500e-015
-1.760e+000	3.0091e-007	-2.7768e+012	-2.7580e+012	2.7580e+012	5.2500e-015
-1.750e+000	3.0097e-007	-2.7956e+012	-2.7768e+012	2.7768e+012	5.2500e-015
-1.740e+000	3.0102e-007	-2.8144e+012	-2.7956e+012	2.7956e+012	5.2500e-015
-1.730e+000	3.0107e-007	-2.8332e+012	-2.8144e+012	2.8143e+012	5.2500e-015
-1.720e+000	3.0112e-007	-2.8520e+012	-2.8332e+012	2.8331e+012	5.2500e-015
-1.710e+000	3.0117e-007	-2.8708e+012	-2.8520e+012	2.8519e+012	5.2500e-015
-1.700e+000	3.0122e-007	-2.8896e+012	-2.8708e+012	2.8707e+012	5.2500e-015
-1.690e+000	3.0127e-007	-2.9084e+012	-2.8896e+012	2.8895e+012	5.2500e-015
-1.680e+000	3.0132e-007	-2.9272e+012	-2.9084e+012	2.9083e+012	5.2500e-015
-1.670e+000	3.0137e-007	-2.9460e+012	-2.9272e+012	2.9271e+012	5.2500e-015
-1.660e+000	3.0141e-007	-2.9648e+012	-2.9460e+012	2.9459e+012	5.2500e-015
-1.650e+000	3.0146e-007	-2.9836e+012	-2.9648e+012	2.9648e+012	5.2500e-015
-1.640e+000	3.0151e-007	-3.0024e+012	-2.9836e+012	2.9836e+012	5.2500e-015
-1.630e+000	3.0155e-007	-3.0213e+012	-3.0024e+012	3.0024e+012	5.2500e-015
-1.620e+000	3.0160e-007	-3.0401e+012	-3.0213e+012	3.0212e+012	5.2500e-015
-1.610e+000	3.0164e-007	-3.0589e+012	-3.0401e+012	3.0400e+012	5.2500e-015
-1.600e+000	3.0169e-007	-3.0777e+012	-3.0589e+012	3.0589e+012	5.2500e-015
-1.590e+000	3.0173e-007	-3.0966e+012	-3.0777e+012	3.0777e+012	5.2500e-015
-1.580e+000	3.0178e-007	-3.1154e+012	-3.0966e+012	3.0965e+012	5.2500e-015
-1.570e+000	3.0182e-007	-3.1342e+012	-3.1154e+012	3.1154e+012	5.2500e-015
-1.560e+000	3.0186e-007	-3.1531e+012	-3.1342e+012	3.1342e+012	5.2500e-015
-1.550e+000	3.0190e-007	-3.1719e+012	-3.1531e+012	3.1530e+012	5.2500e-015
-1.540e+000	3.0194e-007	-3.1908e+012	-3.1719e+012	3.1719e+012	5.2500e-015
-1.530e+000	3.0199e-007	-3.2096e+012	-3.1908e+012	3.1907e+012	5.2500e-015
-1.520e+000	3.0203e-007	-3.2285e+012	-3.2096e+012	3.2096e+012	5.2500e-015
-1.510e+000	3.0207e-007	-3.2473e+012	-3.2285e+012	3.2284e+012	5.2500e-015
-1.500e+000	3.0211e-007	-3.2662e+012	-3.2473e+012	3.2473e+012	5.2500e-015
-1.490e+000	3.0215e-007	-3.2850e+012	-3.2662e+012	3.2661e+012	5.2500e-015
-1.480e+000	3.0219e-007	-3.3039e+012	-3.2850e+012	3.2850e+012	5.2500e-015
-1.470e+000	3.0223e-007	-3.3228e+012	-3.3039e+012	3.3039e+012	5.2500e-015
-1.460e+000	3.0226e-007	-3.3416e+012	-3.3228e+012	3.3227e+012	5.2500e-015
-1.450e+000	3.0230e-007	-3.3605e+012	-3.3416e+012	3.3416e+012	5.2500e-015
-1.440e+000	3.0234e-007	-3.3794e+012	-3.3605e+012	3.3605e+012	5.2500e-015
-1.430e+000	3.0238e-007	-3.3982e+012	-3.3794e+012	3.3793e+012	5.2500e-015
-1.420e+000	3.0241e-007	-3.4171e+012	-3.3982e+012	3.3982e+012	5.2500e-015
-1.410e+000	3.0245e-007	-3.4360e+012	-3.4171e+012	3.4171e+012	5.2500e-015
-1.400e+000	3.0249e-007	-3.4549e+012	-3.4360e+012	3.4360e+012	5.2500e-015
-1.390e+000	3.0252e-007	-3.4738e+012	-3.4549e+012	3.4548e+012	5.2500e-015
-1.380e+000	3.0256e-007	-3.4926e+012	-3.4738e+012	3.4737e+012	5.2500e-015
-1.370e+000	3.0259e-007	-3.5115e+012	-3.4926e+012	3.4926e+012	5.2500e-015
-1.360e+000	3.0263e-007	-3.5304e+012	-3.5115e+012	3.5115e+012	5.2500e-015
-1.350e+000	3.0266e-007	-3.5493e+012	-3.5304e+012	3.5304e+012	5.2500e-015
-1.340e+000	3.0270e-007	-3.5682e+012	-3.5493e+012	3.5493e+012	5.2500e-015
-1.330e+000	3.0273e-007	-3.5871e+012	-3.5682e+012	3.5682e+012	5.2500e-015
-1.320e+000	3.0277e-007	-3.6060e+012	-3.5871e+012	3.5871e+012	5.2500e-015
-1.310e+000	3.0280e-007	-3.6249e+012	-3.6060e+012	3.6060e+012	5.2500e-015
-1.300e+000	3.0283e-007	-3.6438e+012	-3.6249e+012	3.6249e+012	5.2500e-015
-1.290e+000	3.0287e-007	-3.6627e+012	-3.6438e+012	3.6438e+012	5.2500e-015
-1.280e+000	3.0290e-007	-3.6816e+012	-3.6627e+012	3.6627e+012	5.2500e-015
-1.270e+000	3.0293e-007	-3.7005e+012	-3.6816e+012	3.6816e+012	5.2500e-015
-1.260e+000	3.0296e-007	-3.7194e+012	-3.7005e+012	3.7005e+012	5.2500e-015
-1.250e+000	3.0299e-007	-3.7383e+012	-3.7194e+012	3.7194e+012	5.2500e-015
-1.240e+000	3.0303e-007	-3.7572e+012	-3.7383e+012	3.7383e+012	5.2500e-015
